,Album,Album URL,Artist,Featured Artists,Lyrics,Media,Rank,Release Date,Song Title,Song URL,Writers,Year
0,Only by the Night,https://genius.com/albums/Kings-of-leon/Only-by-the-night,Kings Of Leon,[],"[Verse 1] I've been roamin' around, always lookin' down At all I see Painted faces fill the places I can't reach  [Refrain] You know that I could use somebody You know that I could use somebody  [Verse 2] Someone like you and all you know And how you speak Countless lovers under cover Of the street  [Refrain] You know that I could use somebody You know that I could use somebody Someone like you  [Verse 3] Off in the night, while you live it up I'm off to sleep Wagin' wars to shape the poet And the beat I hope it's gonna make you notice I hope it's gonna make you notice  [Chorus] Someone like me Someone like me Someone like me Somebody Someone like me Someone like me Someone like me Somebody  [Bridge] Go and let it out Go and let it out Go and let it out Go and let it out  [Chorus] Someone like you Somebody Someone like you Somebody Someone like you Somebody  [Outro] I've been roamin' around, always lookin' down At all I see","[{'native_uri': 'spotify:track:5VGlqQANWDKJFl0MBG3sg2', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/5VGlqQANWDKJFl0MBG3sg2'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=gnhXHvRoUd0'}]",1,2008-09-19,Use Somebody,https://genius.com/Kings-of-leon-use-somebody-lyrics,"[{'api_path': '/artists/37359', 'header_image_url': 'https://images.genius.com/13d8f90870b90d2ef57df93a172f1229.399x399x1.jpg', 'id': 37359, 'image_url': 'https://images.genius.com/13d8f90870b90d2ef57df93a172f1229.399x399x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Matthew Followill', 'url': 'https://genius.com/artists/Matthew-followill'}, {'api_path': '/artists/37358', 'header_image_url': 'https://images.genius.com/7ef90a0e1378204934c13b8e8895185b.1000x1000x1.jpg', 'id': 37358, 'image_url': 'https://images.genius.com/eb794a10f81847d9bc974b2ac175081f.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jared Followill', 'url': 'https://genius.com/artists/Jared-followill'}, {'api_path': '/artists/37357', 'header_image_url': 'https://images.genius.com/66d6f897b1454fb20373837f842d86bd.214x214x1.jpg', 'id': 37357, 'image_url': 'https://images.genius.com/66d6f897b1454fb20373837f842d86bd.214x214x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Nathan Followill', 'url': 'https://genius.com/artists/Nathan-followill'}, {'api_path': '/artists/37356', 'header_image_url': 'https://images.genius.com/1f9d0d743a83d3f720c78be84798e7b9.1000x1000x1.png', 'id': 37356, 'image_url': 'https://images.genius.com/ff38863bf314598fe1685ab83a014710.355x355x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Caleb Followill', 'url': 'https://genius.com/artists/Caleb-followill'}]",2009.0
1,The Sound of Madness,https://genius.com/albums/Shinedown/The-sound-of-madness,Shinedown,[],"[Verse 1] My eyes are open wide By the way, I made it through the day I watched the world outside By the way, I'm leaving out today  [Pre-Chorus] Well I just saw Halley's comet, she waved Said, ""Why you always running in place?"" Even the man in the moon disappeared Somewhere in the stratosphere  [Chorus] Tell my mother, tell my father I've done the best I can To make them realize, this is my life I hope they understand  [Post-Chorus] I'm not angry, I'm just saying... Sometimes goodbye is a second chance  [Verse 2] Please don't cry one tear for me I'm not afraid of what I have to say This is my one and only voice So listen close, it's only for today  [Pre-Chorus] Well I just saw Halley's comet, she waved Said, ""Why you always running in place?"" Even the man in the moon disappeared Somewhere in the stratosphere  [Chorus] Tell my mother, tell my father I've done the best I can To make them realize, this is my life I hope they understand  [Post-Chorus] I'm not angry, I'm just saying... Sometimes goodbye is a second chance  [Bridge] Here's my chance This is my chance  [Chorus] Tell my mother, tell my father I've done the best I can To make them realize, this is my life I hope they understand  [Post-Chorus] I'm not angry, I'm just saying... Sometimes goodbye is a second chance  [Outro] Sometimes goodbye is a second chance Sometimes goodbye is a second chance","[{'native_uri': 'spotify:track:0CwYG1UnRmOx8Q1EzElCIL', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/0CwYG1UnRmOx8Q1EzElCIL'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=H25ORRgLxdA'}]",2,2008-06-24,Second Chance,https://genius.com/Shinedown-second-chance-lyrics,"[{'api_path': '/artists/616113', 'header_image_url': 'https://images.genius.com/19d9502bcfa01282218d0183d48d2275.402x402x1.png', 'id': 616113, 'image_url': 'https://images.genius.com/19d9502bcfa01282218d0183d48d2275.402x402x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Dave Bassett', 'url': 'https://genius.com/artists/Dave-bassett'}, {'api_path': '/artists/351336', 'header_image_url': 'https://images.genius.com/e25afe8693b89a8ab32022714939d063.370x370x1.jpg', 'id': 351336, 'image_url': 'https://images.genius.com/e25afe8693b89a8ab32022714939d063.370x370x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Brent Smith', 'url': 'https://genius.com/artists/Brent-smith'}]",2009.0
2,Transformers: Revenge of the Fallen – The Album,https://genius.com/albums/Various-artists/Transformers-revenge-of-the-fallen-the-album,Linkin Park,[],[Verse 1] I remembered black skies The lightning all around me I remembered each flash As time began to blur Like a startling sign That fate had finally found me And your voice was all I heard That I get what I deserve  [Chorus] So give me reason To prove me wrong To wash this memory clean Let the floods cross The distance in your eyes Give me reason To fill this hole Connect this space between Let it be enough to reach the truth that lies Across this new divide  [Verse 2] There was nothing in sight But memories left abandoned There was nowhere to hide The ashes fell like snow And the ground caved in Between where we were standing And your voice was all I heard That I get what I deserve  [Chorus] So give me reason To prove me wrong To wash this memory clean Let the floods cross The distance in your eyes Across this new divide  [Bridge] In every loss in every lie In every truth that you deny And each regret and each goodbye Was a mistake too great to hide And your voice was all I heard That I get what I deserve  [Chorus] So give me reason To prove me wrong To wash this memory clean Let the floods cross The distance in your eyes Give me reason To fill this hole Connect this space between Let it be enough to reach the truth that lies Across this new divide Across this new divide Across this new divide,"[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=ysSxxIqKNN0'}, {'native_uri': 'spotify:track:6Wx88Mv6b9ofjKMKkdwOJd', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/6Wx88Mv6b9ofjKMKkdwOJd'}, {'attribution': 'aloosh1999', 'provider': 'soundcloud', 'type': 'audio', 'url': 'https://soundcloud.com/aloosh1999/linkin-park-new-divide'}]",3,2009-05-18,New Divide,https://genius.com/Linkin-park-new-divide-lyrics,"[{'api_path': '/artists/271318', 'header_image_url': 'https://images.genius.com/4734a9e0b56f985e56bafb2175f002d2.630x354x1.jpg', 'id': 271318, 'image_url': 'https://images.genius.com/87da1d19cc2e2ac125aa6e81f5659418.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Joe Hahn', 'url': 'https://genius.com/artists/Joe-hahn'}, {'api_path': '/artists/177201', 'header_image_url': 'https://images.genius.com/03b575fa7baad98f1ddf8e8e378f2ac2.664x1000x1.jpg', 'id': 177201, 'image_url': 'https://images.genius.com/ad8ed549583846634a19fd0d83db633e.265x385x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Brad Delson', 'url': 'https://genius.com/artists/Brad-delson'}, {'api_path': '/artists/635618', 'header_image_url': 'https://images.genius.com/44b94af7ede9ad126dfed6cca0940c5c.1000x563x1.jpg', 'id': 635618, 'image_url': 'https://images.genius.com/798c8bfd9a8203bd11a71b8e51868e86.250x250x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Dave Farrell', 'url': 'https://genius.com/artists/Dave-farrell'}, {'api_path': '/artists/643808', 'header_image_url': 'https://images.genius.com/22066072878e2d95bfc08a949455997d.1000x188x1.jpg', 'id': 643808, 'image_url': 'https://images.genius.com/e94dd43f295dcd8bc56be0085cfef234.455x455x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Rob Bourdon', 'url': 'https://genius.com/artists/Rob-bourdon'}, {'api_path': '/artists/1015', 'header_image_url': 'https://images.genius.com/b6983cfc17651601b84acec5c1b3228f.1000x303x1.jpg', 'id': 1015, 'image_url': 'https://images.genius.com/3853f38429e3cd0278c2b5b6307b9e92.752x752x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Chester Bennington', 'url': 'https://genius.com/artists/Chester-bennington', 'iq': 2693}, {'api_path': '/artists/4431', 'header_image_url': 'https://images.genius.com/6a72b8d17029e4a015526b885b54a9b9.1000x481x1.jpg', 'id': 4431, 'image_url': 'https://images.genius.com/4a57235a8a3c71d875c3aec4370a5c92.499x499x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Mike Shinoda', 'url': 'https://genius.com/artists/Mike-shinoda', 'iq': 9825}]",2009.0
3,Only by the Night,https://genius.com/albums/Kings-of-leon/Only-by-the-night,Kings Of Leon,[],"[Verse 1] Lay where you're laying Don't make a sound I know they're watching Watching All the commotion The kiddie like play It has people talking Talking  [Chorus] You! Your sex is on fire  [Verse 2] The dark of the alley The breaking of day Head while I'm driving I'm driving Soft lips are open Them knuckles are pale Feels like you're dying You're dying  [Chorus] You! Your sex is on fire Consumed! With what's just transpired  [Verse 3] Hot as a fever Rattle of Bones I could just taste it Taste it But it's not forever But it's just tonight Oh we're still the greatest The greatest, the greatest  [Chorus] You! Your sex is on fire You! Your sex is on fire, ahh Consumed! With what's to transpire And you! Your sex is on fire Consumed! With what's to transpire","[{'native_uri': 'spotify:track:0ntQJM78wzOLVeCUAW7Y45', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=RF0HhrwIwp0'}]",4,2008-09-19,Sex On Fire,https://genius.com/Kings-of-leon-sex-on-fire-lyrics,"[{'api_path': '/artists/37356', 'header_image_url': 'https://images.genius.com/1f9d0d743a83d3f720c78be84798e7b9.1000x1000x1.png', 'id': 37356, 'image_url': 'https://images.genius.com/ff38863bf314598fe1685ab83a014710.355x355x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Caleb Followill', 'url': 'https://genius.com/artists/Caleb-followill'}, {'api_path': '/artists/37358', 'header_image_url': 'https://images.genius.com/7ef90a0e1378204934c13b8e8895185b.1000x1000x1.jpg', 'id': 37358, 'image_url': 'https://images.genius.com/eb794a10f81847d9bc974b2ac175081f.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jared Followill', 'url': 'https://genius.com/artists/Jared-followill'}, {'api_path': '/artists/37359', 'header_image_url': 'https://images.genius.com/13d8f90870b90d2ef57df93a172f1229.399x399x1.jpg', 'id': 37359, 'image_url': 'https://images.genius.com/13d8f90870b90d2ef57df93a172f1229.399x399x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Matthew Followill', 'url': 'https://genius.com/artists/Matthew-followill'}, {'api_path': '/artists/37357', 'header_image_url': 'https://images.genius.com/66d6f897b1454fb20373837f842d86bd.214x214x1.jpg', 'id': 37357, 'image_url': 'https://images.genius.com/66d6f897b1454fb20373837f842d86bd.214x214x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Nathan Followill', 'url': 'https://genius.com/artists/Nathan-followill'}]",2009.0
4,Swoon,https://genius.com/albums/Silversun-pickups/Swoon,Silversun Pickups,[],"[Verse 1] Time is never worth my time Blue shine bleeds into my eyes I still sleep on the right side But white noise can't leave the scene behind  [Pre-Chorus 1] Could I be anything you want me to be? If so, is it meant to be seen?  [Chorus] When you see yourself in a crowded room Do your fingers itch? Are you pistol whipped? Will you step in line or release the glitch? Can you fall asleep with a panic switch?  When you see yourself in a crowded room Do your fingers itch? Are you pistol whipped? Will you step in line or release the glitch? Do you think she'll sleep with a panic?  [Verse 2] I'll try to hold on tight tonight Pink slip inviting me inside Want to burn skin and brand what once was mine But the red views keep ripping the divide  [Pre-Chorus 2] If I go everywhere you want me to go How will I know you'll still follow?  [Chorus] When you see yourself in a crowded room? Do your fingers itch? Are you pistol-whipped? Will you step in line or release the glitch? Can you fall asleep with a panic switch?  When you see yourself in a crowded room Do your fingers itch? Are you pistol whipped? Will you step in line or release the glitch? Do you think she'll sleep with a panic?   [Bridge] I'm waiting and fading and floating away I'm waiting and fading and floating away I'm waiting and fading and floating away I'm waiting and fading and floating...  [Solo]  [Bridge 2] I'm waiting and fading and floating away I'm waiting and fading and floating away I'm waiting and fading and floating away Waiting and fading, waiting and fading  [Chorus] When you see yourself in a crowded room? Do your fingers itch? Are you pistol-whipped? Will you step in line or release the glitch? Can you fall asleep with a panic switch?  When you see yourself in a crowded room Do your fingers itch? Are you pistol whipped? Will you step in line or release the glitch? Do you think she'll sleep with a panic?","[{'native_uri': 'spotify:track:597i9UhHbW8hHgBUp8Tm54', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/597i9UhHbW8hHgBUp8Tm54'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=AG8fugqFn9Q'}]",5,2009-03-17,Panic Switch,https://genius.com/Silversun-pickups-panic-switch-lyrics,"[{'api_path': '/artists/1105306', 'header_image_url': 'https://images.genius.com/6a2aa419d94ac75b21254a89fcbf6dfe.600x400x1.jpg', 'id': 1105306, 'image_url': 'https://images.genius.com/c79420e1928e9ed0dff8a1ad90a69293.400x400x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Joe Lester', 'url': 'https://genius.com/artists/Joe-lester'}, {'api_path': '/artists/1105305', 'header_image_url': 'https://images.genius.com/0c76f4660dbf4fd69160771293d87f73.1000x309x1.png', 'id': 1105305, 'image_url': 'https://images.genius.com/bef8ce0d61b8808bc8143df05787f70a.850x850x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Nikki Monninger', 'url': 'https://genius.com/artists/Nikki-monninger'}, {'api_path': '/artists/334867', 'header_image_url': 'https://images.genius.com/96bfd398dcef8ebbdd68a47a028629db.800x800x1.jpg', 'id': 334867, 'image_url': 'https://images.genius.com/96bfd398dcef8ebbdd68a47a028629db.800x800x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Brian Aubert', 'url': 'https://genius.com/artists/Brian-aubert'}, {'api_path': '/artists/1105307', 'header_image_url': 'https://images.genius.com/bc6b952b77c74cbcd32c056991416aae.183x275x1.jpg', 'id': 1105307, 'image_url': 'https://images.genius.com/343340118f222c026670d0c19d866533.183x183x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Christopher Guanlao', 'url': 'https://genius.com/artists/Christopher-guanlao'}]",2009.0
5,Worlds Collide,https://genius.com/albums/Apocalyptica/Worlds-collide,Apocalyptica Featuring Adam Gontier,"[{'api_path': '/artists/72936', 'header_image_url': 'https://images.genius.com/759d18208acf32314d9a993ba863cd7d.1000x154x1.jpg', 'id': 72936, 'image_url': 'https://images.genius.com/d2ecad6c7a788e14a17a5bc026cd89be.500x500x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Adam Gontier', 'url': 'https://genius.com/artists/Adam-gontier', 'iq': 114}]","I try to make it through my life In my way there's you... I try to make it through these lies That's all I do  Just don't deny it Just don't deny it And deal with it Yeah, deal with it You tried to break me You wanna break me Bit by bit That's just part of it  If you were dead or still alive I don't care I don't care And all the things you left behind I don't care I don't care  I try to make you see my side Always try to stay in line But your eyes see right through That's all they do I'm getting tired of this shit I've got no room when it's like this What you want of me, just deal with it  So...  If you were dead or still alive I don't care I don't care And all the things you left behind I don't care I don't care  [Cello solo]  [In the background:] Nothing can care about I'm taking care of it You won't be there for me You won't be there for me  [Piano solo]  If you were dead or still alive I don't care I don't care And all the things you left behind I don't care I don't care  If you were dead or still alive I don't care (nothing can care about) I don't care... (I'm taking care of it) And all the things you've left behind I don't care (you won't be there for me.) I don't care... at all","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=qxDcWvZCSRg'}]",6,2007-09-14,I Don't Care,https://genius.com/Apocalyptica-i-dont-care-lyrics,"[{'api_path': '/artists/345736', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 345736, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Eicca Toppinen', 'url': 'https://genius.com/artists/Eicca-toppinen'}, {'api_path': '/artists/72936', 'header_image_url': 'https://images.genius.com/759d18208acf32314d9a993ba863cd7d.1000x154x1.jpg', 'id': 72936, 'image_url': 'https://images.genius.com/d2ecad6c7a788e14a17a5bc026cd89be.500x500x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Adam Gontier', 'url': 'https://genius.com/artists/Adam-gontier', 'iq': 114}, {'api_path': '/artists/27835', 'header_image_url': 'https://images.genius.com/a5051b46e0997c3ce9bd9db82273f033.845x1000x1.jpg', 'id': 27835, 'image_url': 'https://images.genius.com/b8bd39c64a70399b7ad33b97ae8e1729.905x905x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Max Martin', 'url': 'https://genius.com/artists/Max-martin'}]",2009.0
6,New Surrender,https://genius.com/albums/Anberlin/New-surrender,Anberlin,[],"[Verse 1] ""I'm here for you"" she said ""And we can stay for a while My boyfriend's gone We can just pretend"" Lips that need no introduction Now who's the greater sin? Your drab eyes seem to invite (Tell me darling) Where do we begin?  [Chorus] Was this over before Before it ever began? Your kiss, your calls, your crutch Like the devil's got your hand This was over before Before it ever began Your lips, your lies, your lust Like the devil's in your hands  [Verse 2] Everyone in this town Is seeing somebody else Everybody's tired of someone Our eyes wander for help Prayers that need no answer now Cause I'm tired of who I am You were my greatest mistake I fell in love with your sin Your littlest sin  [Chorus] Was this over before Before it ever began? Your kiss, your calls, your crutch Like the devil's got your hand This was over before Before it ever began Your lips, your lies, your lust Like the devil's in your hands  [Bridge] Failure is your disease You want my outline drawn You were my greatest failure Discourse your saving song  [Guitar Solo]  [Chorus] Was this over before Before it ever began? Your kiss, your calls, your crutch Like the devil's got your hand This was over before Before it ever began Your lips, your lies, your lust Like the devil's in your hands Was this over before Before it ever began? Your kiss, your calls, your crutch Like the devil's got your hand This was over before Before it ever began Your lips, your lies, your lust Like the devil's in your hands","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=R4sqFmSqrSc'}, {'native_uri': 'spotify:track:5sTVykpRs4eiZKn96bZogj', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/5sTVykpRs4eiZKn96bZogj'}, {'attribution': 'anberlinofficial', 'provider': 'soundcloud', 'type': 'audio', 'url': 'https://soundcloud.com/anberlinofficial/feel-good-drag'}]",7,2008-09-30,Feel Good Drag,https://genius.com/Anberlin-feel-good-drag-lyrics,"[{'api_path': '/artists/227311', 'header_image_url': 'https://images.genius.com/fa8e8f26f84b29ada2a288bfe99d3645.1000x313x1.jpg', 'id': 227311, 'image_url': 'https://images.genius.com/983941b8703c66a04f8f103519cb8c15.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Stephen Christian', 'url': 'https://genius.com/artists/Stephen-christian'}, {'api_path': '/artists/979164', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 979164, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Joseph Milligan', 'url': 'https://genius.com/artists/Joseph-milligan'}, {'api_path': '/artists/1182321', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 1182321, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Deon Rexroat', 'url': 'https://genius.com/artists/Deon-rexroat'}, {'api_path': '/artists/613855', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 613855, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Nathan Young', 'url': 'https://genius.com/artists/Nathan-young'}]",2009.0
7,The Sound of Madness,https://genius.com/albums/Shinedown/The-sound-of-madness,Shinedown,[],"[Intro] Yeah, I get it you're an outcast Always under attack Always coming in last Bringing up the past No one owes you anything I think, you need a shotgun blast A kick in the ass So paranoid, watch your back Oh my, here we go  [Verse 1] Another loose cannon gone bipolar Slipped down, couldn't get much lower Quicksand's got no sense of humor I'm still laughing like hell  [Pre-Chorus] You think that by crying to me Looking so sorry that I'm gonna believe You've been infected by a social disease Well, then take your medicine  [Chorus] I created the sound of madness, wrote the book on pain Somehow I'm still here, to explain That the darkest hour never comes in the night You can sleep with a gun, but when you gonna wake up and fight For yourself  [Verse 2] I'm so sick of this tombstone mentality If there's an afterlife, then it'll set you free But I'm not, gonna part the seas You're a self-fulfilling prophecy  [Pre-Chorus] You think, that by crying to me Looking so sorry that I'm gonna believe You've been infected, by a social disease Well, then take your medicine  [Chorus] I created the sound of madness, wrote the book on pain Somehow I'm still here, to explain That the darkest hour never comes in the night You can sleep with a gun, but when you gonna wake up and fight For yourself  [Bridge] Well I created the sound of madness, wrote the book on pain Somehow I'm still here, to explain That the darkest hour never comes in the night You can sleep with a gun, but when you gonna wake up... when you gonna wake up, and fight  [Chorus] I created the sound of madness, wrote the book on pain Somehow I'm still here, to explain That the darkest hour never comes in the night You can sleep with a gun,  but when you gonna wake up and fight For yourself  [Outro] But when you gonna wake up and fight For yourself But when you gonna wake up and fight For yourself When you gonna wake up and fight For yourself","[{'native_uri': 'spotify:track:0W9Xvd4Qx1aZPxEi94vgRY', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/0W9Xvd4Qx1aZPxEi94vgRY'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=c-lF0eF4XP8'}]",8,2008-06-24,Sound Of Madness,https://genius.com/Shinedown-sound-of-madness-lyrics,"[{'api_path': '/artists/616113', 'header_image_url': 'https://images.genius.com/19d9502bcfa01282218d0183d48d2275.402x402x1.png', 'id': 616113, 'image_url': 'https://images.genius.com/19d9502bcfa01282218d0183d48d2275.402x402x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Dave Bassett', 'url': 'https://genius.com/artists/Dave-bassett'}, {'api_path': '/artists/351336', 'header_image_url': 'https://images.genius.com/e25afe8693b89a8ab32022714939d063.370x370x1.jpg', 'id': 351336, 'image_url': 'https://images.genius.com/e25afe8693b89a8ab32022714939d063.370x370x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Brent Smith', 'url': 'https://genius.com/artists/Brent-smith'}]",2009.0
8,Metamorphosis ,https://genius.com/albums/Papa-roach/Metamorphosis,Papa Roach,[],[Verse 1] When I was a boy I did not care about a thing It was me and this world and a broken dream I was blaming myself For all that was going wrong I was way out there On the wrong side of town And the ones that I loved I started pushing them out Then I realized That it was all my fault  [Chorus] I've been looking for a lifeline For what seems like a lifetime I'm drowning in the pain Breaking down again Looking for a lifeline  [Verse 2] So I put out my hand And I asked for some help We tore down the walls I built around myself I was struck by the light Then I fell to the ground  [Chorus] I've been looking for a lifeline For what seems like a lifetime I'm drowning in the pain Breaking down again Looking for a lifeline Is there anybody out there? Can you pull me from this ocean of despair? I am drowning in the pain Breaking down again Looking for a lifeline  [Bridge] You know a heart of gold Will not take you all the way And in a world so cold It is hard to keep the faith I'm never going to fade away!  [Chorus] I've been looking for a lifeline (looking for a lifeline) For what seems like a lifetime (seems like a lifetime) I'm drowning in the pain Breaking down again Looking for a lifeline Is there anybody out there? (Is there anybody out there?) Can you pull me from this ocean of despair? I'm drowning in the pain Breaking down again Looking for a lifeline,[],9,2009-02-10,Lifeline,https://genius.com/Papa-roach-lifeline-lyrics,"[{'api_path': '/artists/34883', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 34883, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'James Michael', 'url': 'https://genius.com/artists/James-michael'}, {'api_path': '/artists/997925', 'header_image_url': 'https://images.genius.com/d90316c88808314fc2b319fb7bdac014.600x600x1.jpg', 'id': 997925, 'image_url': 'https://images.genius.com/14f1a73874c983ba2ce87663c915c2c9.333x333x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Tobin Esperance', 'url': 'https://genius.com/artists/Tobin-esperance'}, {'api_path': '/artists/152341', 'header_image_url': 'https://images.genius.com/a19d7bbb535212693721bd2dba5350e2.220x270x1.jpg', 'id': 152341, 'image_url': 'https://images.genius.com/b956de341a4141e14ed1fcf609296e03.667x667x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jacoby Shaddix', 'url': 'https://genius.com/artists/Jacoby-shaddix'}]",2009.0
9,21st Century Breakdown,https://genius.com/albums/Green-day/21st-century-breakdown,Green Day,[],"[Chorus: Billie Joe Armstrong] Do you know the enemy? Do you know your enemy? Well, gotta know the enemy (Rah eh!) Do you know the enemy? Do you know your enemy? Well, gotta know the enemy (Rah eh!) Do you know the enemy? Do you know your enemy? Well, gotta know the enemy (Rah eh!)  [Verse 1: Billie Joe Armstrong] Violence is an energy against the enemy Well, violence is an energy (Rah eh!) Bringing on the fury, the choir infantry Revolt against the honor to obey (Oh eh, oh eh) Overthrow the effigy, the vast majority Well, burning down the foreman of control (Oh eh, oh eh) Silence is an enemy against your urgency So rally up the demons of your soul (Oh eh, oh eh)  [Chorus: Billie Joe Armstrong] Do you know the enemy? Do you know your enemy? Well, gotta know the enemy (Rah eh!) Do you know the enemy? Do you know your enemy? Well, gotta know the enemy (Rah eh!)  [Bridge 1: Billie Joe Armstrong] The insurgency will rise When the blood's been sacrificed Don't be blinded by the lies in your eyes Say! (Oh eh, oh eh) (Oh eh, oh eh)  [Guitar Solo]  [Bridge 2: Billie Joe Armstrong] Well, violence is an energy (Oh eh, oh eh) Well, from here to eternity (Oh eh, oh eh) Well, violence is an energy (Oh eh, oh eh) Well, silence is the enemy So gimme, gimme revolution!  [Chorus: Billie Joe Armstrong] Do you know the enemy? Do you know your enemy? Well, gotta know the enemy (Rah eh!) Do you know the enemy? Do you know your enemy? Well, gotta know the enemy (Rah eh!) Do you know the enemy? Do you know your enemy? Well, gotta know the enemy (Rah eh!)  [Outro: Billie Joe Armstrong] Overthrow the effigy, the vast majority Well, burning down the foreman of control (Oh eh, oh eh) Silence is an enemy, against your urgency So rally up the demons of your soul (Oh eh, oh eh)","[{'native_uri': 'spotify:track:5qtwzv99vOr5UTwnTixn7j', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/5qtwzv99vOr5UTwnTixn7j'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=9IclmVdWNbI'}]",10,2009-04-16,Know Your Enemy,https://genius.com/Green-day-know-your-enemy-lyrics,"[{'api_path': '/artists/55027', 'header_image_url': 'https://images.genius.com/20ab2875b2740664f1d2ce171d3d3068.851x315x1.jpg', 'id': 55027, 'image_url': 'https://images.genius.com/f95b0ae4c55b88cb1a74a5e25272ecd8.285x285x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Billie Joe Armstrong', 'url': 'https://genius.com/artists/Billie-joe-armstrong'}]",2009.0
