,Artist,Song Title,Lyrics,Year,word_count
0,Kings Of Leon,Use Somebody, ive been roaming around  always looking down at all i see painted faces fill the places i cannot reach  you know that i could use somebody you know that i could use somebody  someone like you and all you know and how you speak countless lovers under cover of the street  you know that i could use somebody you know that i could use somebody someone like you  off in the night  while you live it up im off to sleep waging wars to shape the poet and the beat i hope it is going to make you notice i hope it is going to make you notice  someone like me someone like me someone like me somebody someone like me someone like me someone like me somebody  go and let it out go and let it out go and let it out go and let it out  someone like you somebody someone like you somebody someone like you somebody  ive been roaming around  always looking down at all i see,2009.0,171
1,Shinedown,Second Chance, my eyes are open wide by the way  i made it through the day i watched the world outside by the way  im leaving out today  well i just saw halleys comet  she waved said  why you always running in place even the man in the moon disappeared somewhere in the stratosphere  tell my mother  tell my father ive done the best i can to make them realize  this is my life i hope they understand  im not angry  im just saying sometimes goodbye is a second chance  please do not cry one tear for me im not afraid of what i have to say this is my one and only voice so listen close  it is only for today  well i just saw halleys comet  she waved said  why you always running in place even the man in the moon disappeared somewhere in the stratosphere  tell my mother  tell my father ive done the best i can to make them realize  this is my life i hope they understand  im not angry  im just saying sometimes goodbye is a second chance  heres my chance this is my chance  tell my mother  tell my father ive done the best i can to make them realize  this is my life i hope they understand  im not angry  im just saying sometimes goodbye is a second chance  sometimes goodbye is a second chance sometimes goodbye is a second chance,2009.0,237
2,Linkin Park,New Divide, i remembered black skies the lightning all around me i remembered each flash as time began to blur like a startling sign that fate had finally found me and your voice was all i heard that i get what i deserve  so give me reason to prove me wrong to wash this memory clean let the floods cross the distance in your eyes give me reason to fill this hole connect this space between let it be enough to reach the truth that lies across this new divide  there was nothing in sight but memories left abandoned there was nowhere to hide the ashes fell like snow and the ground caved in between where we were standing and your voice was all i heard that i get what i deserve  so give me reason to prove me wrong to wash this memory clean let the floods cross the distance in your eyes across this new divide  in every loss in every lie in every truth that you deny and each regret and each goodbye was a mistake too great to hide and your voice was all i heard that i get what i deserve  so give me reason to prove me wrong to wash this memory clean let the floods cross the distance in your eyes give me reason to fill this hole connect this space between let it be enough to reach the truth that lies across this new divide across this new divide across this new divide,2009.0,249
3,Kings Of Leon,Sex On Fire, lay where you are laying do not make a sound i know they are watching watching all the commotion the kiddie like play it has people talking talking  you your sex is on fire  the dark of the alley the breaking of day head while im driving im driving soft lips are open them knuckles are pale feels like you are dying you are dying  you your sex is on fire consumed with what is just transpired  hot as a fever rattle of bones i could just taste it taste it but it is not forever but it is just tonight oh we are still the greatest the greatest  the greatest  you your sex is on fire you your sex is on fire  ahh consumed with what is to transpire and you your sex is on fire consumed with what is to transpire,2009.0,143
4,Silversun Pickups,Panic Switch, time is never worth my time blue shine bleeds into my eyes i still sleep on the right side but white noise cannot leave the scene behind  could i be anything you want me to be if so  is it meant to be seen  when you see yourself in a crowded room do your fingers itch are you pistol whipped will you step in line or release the glitch can you fall asleep with a panic switch  when you see yourself in a crowded room do your fingers itch are you pistol whipped will you step in line or release the glitch do you think she will sleep with a panic  i will try to hold on tight tonight pink slip inviting me inside want to burn skin and brand what once was mine but the red views keep ripping the divide  if i go everywhere you want me to go how will i know you will still follow  when you see yourself in a crowded room do your fingers itch are you pistolwhipped will you step in line or release the glitch can you fall asleep with a panic switch  when you see yourself in a crowded room do your fingers itch are you pistol whipped will you step in line or release the glitch do you think she will sleep with a panic  im waiting and fading and floating away im waiting and fading and floating away im waiting and fading and floating away im waiting and fading and floating  im waiting and fading and floating away im waiting and fading and floating away im waiting and fading and floating away waiting and fading  waiting and fading  when you see yourself in a crowded room do your fingers itch are you pistolwhipped will you step in line or release the glitch can you fall asleep with a panic switch  when you see yourself in a crowded room do your fingers itch are you pistol whipped will you step in line or release the glitch do you think she will sleep with a panic,2009.0,345
5,Apocalyptica Featuring Adam Gontier,I Don't Care,i try to make it through my life in my way there is you i try to make it through these lies that is all i do  just do not deny it just do not deny it and deal with it yeah  deal with it you tried to break me you want to break me bit by bit that is just part of it  if you were dead or still alive i do not care i do not care and all the things you left behind i do not care i do not care  i try to make you see my side always try to stay in line but your eyes see right through that is all they do im getting tired of this shit ive got no room when it is like this what you want of me  just deal with it  so  if you were dead or still alive i do not care i do not care and all the things you left behind i do not care i do not care  nothing can care about im taking care of it you will not be there for me you will not be there for me  if you were dead or still alive i do not care i do not care and all the things you left behind i do not care i do not care  if you were dead or still alive i do not care  nothing can care about  i do not care  im taking care of it  and all the things you have left behind i do not care  you will not be there for me  i do not care at all,2009.0,276
6,Anberlin,Feel Good Drag, im here for you she said and we can stay for a while my boyfriends gone we can just pretend lips that need no introduction now who is the greater sin your drab eyes seem to invite  tell me darling  where do we begin  was this over before before it ever began your kiss  your calls  your crutch like the devils got your hand this was over before before it ever began your lips  your lies  your lust like the devils in your hands  everyone in this town is seeing somebody else everybodys tired of someone our eyes wander for help prayers that need no answer now because im tired of who i am you were my greatest mistake i fell in love with your sin your littlest sin  was this over before before it ever began your kiss  your calls  your crutch like the devils got your hand this was over before before it ever began your lips  your lies  your lust like the devils in your hands  failure is your disease you want my outline drawn you were my greatest failure discourse your saving song  was this over before before it ever began your kiss  your calls  your crutch like the devils got your hand this was over before before it ever began your lips  your lies  your lust like the devils in your hands was this over before before it ever began your kiss  your calls  your crutch like the devils got your hand this was over before before it ever began your lips  your lies  your lust like the devils in your hands,2009.0,267
7,Shinedown,Sound Of Madness, yeah  i get it you are an outcast always under attack always coming in last bringing up the past no one owes you anything i think  you need a shotgun blast a kick in the ass so paranoid  watch your back oh my  here we go  another loose cannon gone bipolar slipped down  could not get much lower quicksands got no sense of humor im still laughing like hell  you think that by crying to me looking so sorry that im going to believe you have been infected by a social disease well  then take your medicine  i created the sound of madness  wrote the book on pain somehow im still here  to explain that the darkest hour never comes in the night you can sleep with a gun  but when you going to wake up and fight for yourself  im so sick of this tombstone mentality if there is an afterlife  then it will set you free but im not  going to part the seas you are a selffulfilling prophecy  you think  that by crying to me looking so sorry that im going to believe you have been infected  by a social disease well  then take your medicine  i created the sound of madness  wrote the book on pain somehow im still here  to explain that the darkest hour never comes in the night you can sleep with a gun  but when you going to wake up and fight for yourself  well i created the sound of madness  wrote the book on pain somehow im still here  to explain that the darkest hour never comes in the night you can sleep with a gun  but when you going to wake up when you going to wake up  and fight  i created the sound of madness  wrote the book on pain somehow im still here  to explain that the darkest hour never comes in the night you can sleep with a gun  but when you going to wake up and fight for yourself  but when you going to wake up and fight for yourself but when you going to wake up and fight for yourself when you going to wake up and fight for yourself,2009.0,365
8,Papa Roach,Lifeline, when i was a boy i did not care about a thing it was me and this world and a broken dream i was blaming myself for all that was going wrong i was way out there on the wrong side of town and the ones that i loved i started pushing them out then i realized that it was all my fault  ive been looking for a lifeline for what seems like a lifetime im drowning in the pain breaking down again looking for a lifeline  so i put out my hand and i asked for some help we tore down the walls i built around myself i was struck by the light then i fell to the ground  ive been looking for a lifeline for what seems like a lifetime im drowning in the pain breaking down again looking for a lifeline is there anybody out there can you pull me from this ocean of despair i am drowning in the pain breaking down again looking for a lifeline  you know a heart of gold will not take you all the way and in a world so cold it is hard to keep the faith im never going to fade away  ive been looking for a lifeline  looking for a lifeline  for what seems like a lifetime  seems like a lifetime  im drowning in the pain breaking down again looking for a lifeline is there anybody out there  is there anybody out there  can you pull me from this ocean of despair im drowning in the pain breaking down again looking for a lifeline,2009.0,266
9,Green Day,Know Your Enemy, do you know the enemy do you know your enemy well  got to know the enemy  rah eh  do you know the enemy do you know your enemy well  got to know the enemy  rah eh  do you know the enemy do you know your enemy well  got to know the enemy  rah eh  violence is an energy against the enemy well  violence is an energy  rah eh  bringing on the fury  the choir infantry revolt against the honor to obey  oh eh  oh eh  overthrow the effigy  the vast majority well  burning down the foreman of control  oh eh  oh eh  silence is an enemy against your urgency so rally up the demons of your soul  oh eh  oh eh  do you know the enemy do you know your enemy well  got to know the enemy  rah eh  do you know the enemy do you know your enemy well  got to know the enemy  rah eh  the insurgency will rise when the bloods been sacrificed do not be blinded by the lies in your eyes say  oh eh  oh eh  oh eh  oh eh  well  violence is an energy  oh eh  oh eh  well  from here to eternity  oh eh  oh eh  well  violence is an energy  oh eh  oh eh  well  silence is the enemy so give me  give me revolution  do you know the enemy do you know your enemy well  got to know the enemy  rah eh  do you know the enemy do you know your enemy well  got to know the enemy  rah eh  do you know the enemy do you know your enemy well  got to know the enemy  rah eh  overthrow the effigy  the vast majority well  burning down the foreman of control  oh eh  oh eh  silence is an enemy  against your urgency so rally up the demons of your soul  oh eh  oh eh ,2009.0,313
