,Artist,Song Title,Lyrics,Year,word_count
0,Ashanti,Foolish,murder inc ashanti see days cold without hurting though heart take keep running back see days cold without hurting though heart take keep running back baby know treating bad treat bad said love one though heart beating stop crying know allow treat way still stay see days cold without without hurting though heart take keep running back keep running back see days cold without without hurting though heart take keep running back baby know want wrong wrong see home alone always gone always gone boy know really love deny see could bring many tears years see days cold without days yeah hurting though heart take keep running back see days cold without without hurting without though heart take keep running back keep running back ooh trusted trusted sad sad love make things accept things regret ladies ladies feel come sing see get strength leave always tell need weakbecause believe mad love stop think maybe learn appreciate remains never going change never going change never going change see days cold without days cold baby hurting though heart take keep running back see days cold without without hurting though heart take keep running back baby hurt leave desert boy gave heart tear looking window knowing go even pack bags something always holds back,2002.0,211
1,Usher,U Don't Have To Call,yo tonight leave girl around true playa real ask nigga pharrell uh come going smell hah yeah smell hah yeah leave girl around true playa real ask nigga pharrell uh situations arise lives got smart celebrations guys sacrificedbecause knew could sleep without meanwhile loved girl see thought world still steady leaving baby call okay girlbecause going alright tonight call okay girlbecause going alright tonight aw girl face saying tears eyes smart cherished listening friends end story end without damn right loved girl see thought world still steady leaving baby call okay girlbecause going alright tonight call okay girlbecause going alright tonight going boogie tonightbecause honestly young guy stay home waiting love tonight going single man party yeah oh yeah call gotta call okay girl okay girl going alright tonight ima alright hah call gotta call okay girl okay girl going alright tonight tonight going nigga oh yeah hah call okay girl alright girl hah going alright tonight alright going boogie tonightbecause honestly young guy stay home waiting love tonight going single man party yeah yeah hah call okay girlbecause going alright tonight ohohohoh oh call hah okay girl okay going alright going alright tonight oh oh oh oh yeah yeah yeah yeah yeah call okay girl okay girl going alright tonight sick tired home going fun call hey hey yeah okay girl okay okay okay alright going alright tonight waiting home bye bye,2002.0,233
2,Musiq,halfcrazy,la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la never thought would ever friends confused cause deeper feelings thought cool cross line convinced would alright things strange nothing really want friend back mind gone half crazy cause leave alone oh get system wondering worth holding holding said mind gone half crazy cause leave alone get system wondering worth holding yeah would hate walk away never existed cause kissed moment love different lately gotta watch say cause take things personal nowadays used laugh get mad damn want friend back oh oh oh oh oh yeah happened one used know oh yeah yeah one used laugh joke one used tell secrets used chill whatever whenever together yeah mind gone half crazy oh cause leave alone going half crazy baby wondering worth oh holding said mind gone half crazy yeah cause leave alone know wondering worth holding said know used chill yeah used hang used used many things together yeah yeah yeah yeah yeah oh oh yeah oh oh oh,2002.0,190
3,Nelly,Hot In Herre,hot hot herre hot hot oh little bit uh uh little bit uh uh little bit little bit little bit little bit like good gracious ass bodacious uhh flirtacious tryin show patience waitin right time shoot steez know waitin right time flash keys uhh leavin please believe ohh rest heathens check got locked top fo seasons penthouse roof top birds feedin deceivin nuttin sleeve teasin need get dance floor give man askin cause feel like bustin loose feel like touchin uh uh nobody stop juice baby tell use said gettin hot herre hot take clothes gettin hot want take clothes gettin hot herre hot take clothes gettin hot want take clothes uh uh uh let hang bar poppin bottles c amon good fame fuckin models see drivin sports cars hittin throttle hundred top goggles got freeway exit 106 parked ash tray flip gate time spark gucci collar dollar got walked spit game cause baby talk warm sweatin hot joint vokal tanktop point winner baby lose got secrets leave cancun take like home alone know dance front mirror phone checkin reflection tellin best friend like girl think butt gettin big gettin hot herre hot take clothes gettin hot want take clothes gettin hot herre hot take clothes gettin hot want take clothes uh uh uh let hang let hang mix little bit ah ah little bit ah ah let fall give little bit ah ah little bit ah ah let hang little bit ah ah sprinkle ah ah let fall like ya ah ah girl baby make ah ah stop pacin time wastin got friend pole basement kidding like jason oh unless gon extra extra eh spread news check nelly took trip lou neptunes came back somethin thicker fittin sasoons say got thing cuttin restrooms ohh gettin hot hot take clothes gettin hot want take clothes gettin hot hot take clothes gettin hot want take clothes uh uh uh let hang gettin hot herre hot take clothes gettin hot want take clothes gettin hot herre hot take clothes gettin hot want take clothes uh uh uh let hang let hang mix little bit ah ah little bit ah ah let fall give little bit ah ah little bit ah ah let hang little bit ah ah sprinkle ah ah let fall like ya ah ah girl baby make ah ah ohh,2002.0,390
4,Jaheim Featuring Next,Anything,yea ooh yea yea yea yea anything got right spot dadadadadadadada dadadadada anything work fingers way bone dadadadadadadada dadadadada baby want fictitious saying get anything ridiculous anything ask anywhere near grasp oh yea got fancy cars diamond rings lord knows make singing thing hold faith cause anything baby girl know want roll lexus lexus mansion texas like apartment 8 cellular prepaid baby okay things want love stay true give last dime spend time whatever mine anything want ls drive man whole lot plans lot love inside believe pray hold say stay handle leaving dream dream dream jaheim work overtime anytime give peace mind please believe everything anything babybabybabybaby baby anything want anything want anything need anything baby girl ask anything want anything need,2002.0,123
5,Nelly Featuring Kelly Rowland,Dilemma,love need nelly love need matter woo think even boo boy know crazy matter think even boo know crazy met chick moved right block uh got hots finest thing hood done seen oh oh got man son though okay cause wait cue listen play position like shortstop pick erything mami hitting time plan make one mine surebecause never type break happy home uh something bout baby girl leave alone tell going said know mean matter woo think uh huh even boo boy know crazy matter think even boo know crazy see lot look never say word know niggas start acting tripping girls way nelly gon fight dame see like steez style whole demeanor way come holla swoop twoseater gangsta got special ways thank ya forget uh easy pack leave uh dirty got ties different reasons respect right turn leave said said know mean matter woo think uh huh even boo boy know crazy matter think even boo know crazy sing k love word need nelly love come girl ever know boy sure always count love forever yeah yeah east coast know shaking right south know bouncing right west coast know walking right cause know mean midwest see swinging right matter think even boo boy know crazy matter think even boo know crazy east coast know shaking right south know bouncing right west coast know walking right cause know mean midwest see swinging right east coast still shaking right south know bouncing right west coast know walking right cause know mean midwest see swinging right matter woo think uh huh even boo boy know crazy matter think even boo boy know crazy matter think even boo boy know crazy east coast know shaking right south know bouncing right west coast know walking right cause know mean midwest see swinging right east coast still shaking right south see bouncing right west coast know walking right cause know mean midwest see swinging right,2002.0,320
7,Mr. Cheeks,"Lights, Camera, Action!",talkin motherfuckers yea ok yea ooh ooh one vivrant thing lb gi one fam oh bounce bink dawg hot talkin gone somethin mr cheeks whoo talkin lights camera action ohh kay get bink dawg one shot deal shit yea ok spot want money spent niggas gettin bent chicks front way like hunnies turnin somethin got seat cut burnin somethin booties dancin round nigga killin one killin one top stash feelin buns plus low table fuckin chick fat batty ring navel dances around struts fuck walk touches toes make butt talk whatcha gotta mad chu know lot haters seen bad real bad girl nigga need sippin ya henny askin weed lemme put onto somethin fuckin big nigga frontin uh shorty turn around lemme see somethin fuckin real gone somethin yea talkin lights camera action singin sorry ms jackson love way goin got thong started bouncin heard thong song high heels got calves lookin right shorty come live night true shit tryin holla right holla back headed lemme follow word got plans tongue hands way move music make nigga want take outta go somewhere loose physique chain going hard gettin brain mean could take drive x5 way boogie floor know sex slide dime piece tryin see somethin suck front lemme squeeze somethin got hours left notil nigga jet hopin nigga get hear callin ya name geuss ya showtime getcha money shorty lemme see pole climb toes back showin tattoo fuck dumb shit nigga snatch youu lookin good ya smell pay bills ask officer pushin wheels yea feelin tryin see deal goin later chill anything want know way nigga feel want get ya dance love way make moves pants let ride bounce ya man song let get goin goin chance gone next stop yo turn thing hey swing bink dawg one shot deal shit keep tight steal shit real shit new shit come thru shit mr sexy keep shit hot us let go get niggas tryed come get us back niggas know fuckin style got booties back hey meanwhile suckin smokin drinkin hey man fuck thinkin aww shit high tonite well nigga said let ride tonite miami new york twist cap pop cork yea shorty lemme see somethin fuckin team yea gone somethin talkin bout lights camera action nigga singin sorry ms jackson yea oh haha sorry ms jackson shorty actin like ready action,2002.0,391
8,N.O.R.E.,Nothin',oh millitainment oh millitainment oh millitainment come millitainment oh millitainment one hot one millitainment aiyyo millitainment homeboy came party ohh yo girl lookin ohh haggler naw taggin ohh want boys come start askin ya ohh want nigga nothin trying nigga nothin want nigga nothin trying yo yo yo yo papi say nigga man manager chris label jams still flossin showin rocks dudes heard grimey man stoled watch goes indian style knees bent dashiki strapped veritek baby tec bt true bar lookin good brown dress ordered six shots things around yet persona thugged loud clear sayin fuck straight henny grab beer see reppin mami got weapon shoot clowns feet high steppin left wack label cause like pricks like hammer hold hand make hits white boy club buyin bar like hey star go homeboy came party ohh yo girl lookin ohh haggler naw taggin ohh want boys come start askin ya ohh want nigga nothin trying nigga nothin want nigga nothin trying nothin spit mack millimeter rhymes kill liter line nigga peter got heater mines niggas still lyin wack ass bars time seen jail watchin oz club pissy drunk like ahhdadidaa mami took proper like dadadidaa adios kill soul body ghost call gordo sip champagne importo playin capicu man nappy like chocha nappy treat life like fast car lower speed try chill sell records creed hustler way melvin flynt criminal leave prints dudes gave brick seen since caught wit em dudes straight hoppin fence go homeboy came party ohh yo girl lookin ohh haggler naw taggin ohh want boys come start askin ya ohh want nigga nothin trying nigga nothin want nigga nothin trying nothin la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh yo yo yo yo oops done done got another one keep hid pocket got another one fast furious dunn dunn dunn tudunn still miami jet skiing ocean sharks odn adebesi want brick pay double easy got things move easy told lawyer sold blow old goya half spanish see cook coke goya half spanish day arroz con polla recognize runnin game chickens even messin brain started gettin head westside highway recognize nigga way ice rockin brick choppin gun shoppin beat cases without cochran homeboy came party ohh yo girl lookin ohh haggler naw taggin ohh want boys come start askin ya ohh want nigga nothin trying nigga nothin want nigga nothin trying nothin la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh la la la la la la la la la ohh,2002.0,545
9,Faith Evans,I Love You,heart belongs could make feel see hanging around know make feel every day try make sense mean know could serious every night dream holding loving like girl supposed love love want want one live take anymore anymore love love need need make see one first time saw face heart erased guys knew walked life type never want nothing every day try make sense mean know could serious every night dream holding loving like girl supposed love love want need one live take anymore love love need need make see one love want need life see mean baby come hold tight miss want kiss every time see face baby waiting every day love oh want one live take anymore baby know love love need make see make see one oh yeah one one know meant know meant make see love carry listen heart listen heart know know find love go love go future lies us oh babe love love want know heart belongs boy one live take anymore love baby love need baby need make see one love one want meant one live take anymore love need make see one love baby love want baby need,2002.0,195
10,Michael Jackson,Butterflies,butterflies da de da da de de da da de da da de de da da butterflies da de de da da de da ohh fly da de de da de da dum la de de de da la de da la de de de da la dum la dum la dum got walk away pass acknowledge smile try say hello yeah got answer calls tryna get keep wondering sigh want touch want touch kiss wish could tonight wish could girl give give butterflies inside inside got say must dreaming real still feel near caress let taste us blissful listen would give anything baby ah make dreams come true oh baby give butterflies want touch kiss wish could tonight tonight give butterflies inside inside want touch kiss wish could tonight give ahbecause give butterflies inside inside would take hand baby would show guide light babe would love baby love love notil end time want touch kiss wish could tonight tonight girl give give butterflies inside inside want touch kiss want want wish could tonight ah give butterflies inside inside want touch kiss wish could tonight ahbecause give butterflies inside inside want touch kiss want want girl wish could tonight want give butterflies inside inside,2002.0,204
