,Artist,Song Title,Lyrics,Year,word_count,end
0,Ashanti,Foolish, Intro Murder Inc Ashanti Chorus See my days are cold without you But I am hurting while I am with you And though my heart can not take no more I keep on running back to you See my days are cold without you But I am hurting while I am with you And though my heart can not take no more I keep on running back to you Verse 1 Baby I do not know why you are treating me so bad Treat me so bad You said you love me no one above me and I was all you had And though my heart is beating for you I can not stop crying I do not know how I allow you to treat me this way and still I stay Chorus See my days are cold without you Without you But I am hurting while I am with you And though my heart can not take no more I keep on running back to you Keep on running back to you See my days are cold without you Without you But I am hurting while I am with you And though my heart can not take no more I keep on running back to you Verse 2 Baby I do not know why you want to do me wrong Do me wrong See when I am home I am all alone and you are always gone Always gone And boy you know I really love you I can not deny I can not see how you could bring me to so many tears after all these years Chorus See my days are cold without you My days yeah But I am hurting while I am with you And though my heart can not take no more No more no more I keep on running back to you See my days are cold without you Without you But I am hurting while I am with you Without you And though my heart can not take no more I keep on running back to you I keep on running back to you Verse 3 Ooh I trusted you I trusted you So sad so sad what love will make you do All the things that we accept Be the things that we regret To all of my ladies Ladies Feel me come on sing with me See when I get the strength to leave You always tell me that you need me And I am weak because I believe you And I am mad because I love you So I stop and think that maybe You can learn to appreciate me Then it all remains the same That you are not never going to change Never going to change never going to change Chorus See my days are cold without you My days are cold baby But I am hurting while I am with you And though my heart can not take no more No more no more I keep on running back to you See my days are cold without you Without you But I am hurting while I am with you And though my heart can not take no more No more no more I keep on running back to you Outro Baby why you hurt me leave me and desert me Boy I gave you all my heart and all you did was tear it up Looking out my window knowing that I should go Even when I pack my bags this something always holds me back,2002.0,590,"
"
1,Usher,U Don't Have To Call, Intro Yo after tonight Do not leave your girl around me true playa for real Ask my nigga Pharrell uh Come on that is how it is going down You smell it Hah yeah You smell it Hah yeah Do not leave your girl around me true playa for real Ask my nigga Pharrell uh Verse 1 Situations will arise In our lives But you got to be smart about it Celebrations with the guys I sacrificed Cause I knew you could not sleep without it PreChorus 1 Meanwhile I I loved you you were my girl You see I Thought the world of you But you are still steady leaving baby Chorus You do not have to call It is okay girl Cause I ama be alright tonight You do not have to call It is okay girl Cause I ama be alright tonight Verse 2 Aw girl your face is saying Why Tears in eyes Should have been more smart about it Should have cherished me listening to friends Now it is the end And again no story can end without it PreChorus 2 Damn right I loved you You were my girl You see I Thought the world of you But you are still steady leaving baby Chorus You do not have to call It is okay girl Cause I ama be alright tonight You do not have to call It is okay girl Cause I ama be alright tonight Bridge Gonna boogie tonight Cause I am honestly too young of a guy To stay home waiting for love So tonight I am going to do what a single man does And that is party yeah oh yeah Chorus You do not have to call you do not going to call It is okay girl It is okay girl Cause I ama be alright tonight Ima be alright hah You do not have to call you are not going to call It is okay girl I am okay girl Cause I ama be alright tonight Tonight I am going out with my nigga oh yeah hah You do not have to call It is okay girl I am alright girl hah Cause I ama be alright tonight I am alright Bridge Gonna boogie tonight Cause I am honestly too young of a guy To stay home waiting for love So tonight I am going to do what a single man does And that is party yeah yeah hah Chorus You do not have to call It is okay girl Cause I ama be alright tonight Ohohohoh oh You do not have to call hah It is okay girl It is okay i am going to be alright Cause I ama be alright tonight oh oh oh oh yeah yeah yeah yeah yeah You do not have to call It is okay girl It is okay girl Cause I ama be alright tonight sick and tired of being home I am going to have me some fun You do not have to call hey hey yeah It is okay girl it is okay it is okay it is okay it is alright Cause I ama be alright tonight Outro I am not waiting at home for you Bye bye,2002.0,541,"
"
2,Musiq,halfcrazy, Intro La la la la la la la la la La la la la la la la La la la la la la la la la La la la la la la la Verse 1 Never thought that we would ever be more than friends Now I am all confused cause for you I have deeper feelings We both thought it was cool to cross the line And I was convinced it would be alright Now things are strange nothinggg is the same And really I just want my friend back Hook And my mind is gone half crazy cause I can not leave you alone oh can not get you out of my system And I am wondering if it is worth me holding on holding on Said my mind is gone half crazy cause I can not leave you alone can not get you out of my system And I am wondering if it is worth me holding on yeah Verse 2 I would hate to walk away from you as if this never existed Cause when we kissed the moment after I love that you different Lately I going to watch what I say Cause you take things personal nowadays You used to laugh now you get mad Damn I just want my friend back Hook Breakdown Oh oh oh oh oh yeah What happened to the one I used to know oh yeah yeah The one I used to laugh and joke with The one I used to tell all my secrets We used to chill and be down for whatever whenever together yeah Hook And my mind is gone half crazy oh cause I can not leave you alone I am going half crazy baby And I am wondering if it is worth me oh holding on over you Said my mind is gone half crazy yeah cause I can not leave you alone and I just do not know And I am wondering if it is worth me holding on said I just do not know what to do now We used to chill yeah we used to hang We used to do we used to do some many things together yeah Yeah yeah yeah yeah Oh oh Yeah Oh oh oh,2002.0,378,"
"
3,Nelly,Hot In Herre, Intro It is hot in so hot in herre So hot in hot OH Refrain With a little bit of uh uh and a little bit of uh uh Just a little bit of just a little bit of Just a little bit of just a little bit of Verse 1 Nelly I was like good gracious ass is bodacious uhh Flirtacious tryin to show patience I am waitin for the right time to shoot my steez you know Waitin for the right time to flash them keys then uhh I am leavin please believe in ohh Me and the rest of my heathens Check it got it locked at the top of the Fo Seasons Penthouse roof top birds I am feedin No deceivin nuttin up my sleeve and No teasin I need you to Get up up on the dance floor Give that man what he askin for Cause I feel like bustin loose And I feel like touchin you uh uh And can not nobody stop the juice So baby tell me what is the use I said Hook It is gettin hot in herre so hot so take off all your clothes I am gettin so hot I want to take my clothes off It is gettin hot in herre so hot so take off all your clothes I am gettin so hot I want to take my clothes off Uh uh uh let it hang all out Verse 2 Nelly Why you at the bar if you are not poppin the bottles c amon What good is all the fame if you are not fuckin the models I see you drivin sports cars are not hittin the throttle And I will be down to do a hundred top down and goggles Got off the freeway exit 106 and parked it Ash tray flip gate time to spark it Gucci collar for dollar got out and walked it I spit game cause baby I can not talk it Warm sweatin it is hot up in this joint Vokal tanktop on at this point You with a winner so baby you can not lose I got secrets can not leave Cancun So take it off like you are home alone You know dance in front your mirror while you are on the phone Checkin your reflection and tellin your best friend Like Girl I think my butt gettin big Hook It is gettin hot in herre so hot so take off all your clothes I am gettin so hot I want to take my clothes off It is gettin hot in herre so hot so take off all your clothes I am gettin so hot I want to take my clothes off Uh uh uh let it hang all out Refrain Let it hang all out Mix a little bit of ah ah With a little bit of ah ah Let it just fall out Give a little bit of ah ah With a little bit of ah ah Let it hang all out With a little bit of ah ah And a sprinkle of that ah ah Let it just fall out I like it when ya ah ah Girl baby make it ah ah Verse 3 Nelly Stop pacin time wastin I got a friend with a pole in the basement what I am just kidding like Jason oh Unless you gon do it Extra extra eh spread the news check it Nelly took a trip from the Lou to the Neptunes Came back with somethin thicker than fittin in Sasoons Say she got a thing about cuttin in restrooms ohh Hook It is gettin hot in here so hot so take off all your clothes I am gettin so hot I want to take my clothes off It is gettin hot in here so hot so take off all your clothes I am gettin so hot I want to take my clothes off Uh uh uh let it hang all out It is gettin hot in herre so hot so take off all your clothes I am gettin so hot I want to take my clothes off It is gettin hot in herre so hot so take off all your clothes I am gettin so hot I want to take my clothes off Uh uh uh let it hang all out Refrain Let it hang all out Mix a little bit of ah ah With a little bit of ah ah Let it just fall out Give a little bit of ah ah With a little bit of ah ah Let it hang all out With a little bit of ah ah And a sprinkle of that ah ah Let it just fall out I like it when ya ah ah Girl baby make it ah ah ohh,2002.0,804,"
"
4,Jaheim Featuring Next,Anything,Yea oohyeahyeayeahyea Chorus Next You can have anything I got All of me right on the spot Dadadadadadadada Dadadadada You can have anything I own Work my fingers all the way to the bone Dadadadadadadada Dadadadada Verse 1 Jaheim Now baby I do not want to be fictitious Saying I can get you anything is ridiculous But anything you ask if its anywhere near my grasp It is yours OhyeahNow I do not got fancy cars or diamond rings Lord knows I will if I make it with this singing thing Hold on have faith in me Cause anything I have is yours baby Chorus Verse 2 Jaheim Girl I know you want to roll a Lexus A Lexus with a mansion down in Texas It is more like apartment 8 cellular is prepaid But baby it is all okay I can not do all the things I want to do But I can love you and I can stay true I will give you my last dime Spend all my time It is yours whatever is mine You can have anything you want Chorus Bridge Jaheim and Next Now I do not have no LS to drive But I am a man with a whole lot of plans and a lot of love inside Just believe and pray hold on to me and say stay I can not handle you leaving me Just dream dream dream with Jaheim I will work overtime anytime Just to give you peace of mind Please just believe everything and anything All of me babybabybabybaby Chorus Jaheim Baby you can have anything you want Next Anything you want anything you need Anything I have baby girl just ask Anything you want anything you need,2002.0,290,"
"
5,Nelly Featuring Kelly Rowland,Dilemma, Intro Kelly Rowland I love you And I need you Nelly I love you I do need you Hook Kelly Rowland No matter what I do woo All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo You know I am crazy over you Verse 1 Nelly and Kelly Rowland I met this chick and she just moved right up the block from me And uh she got the hots for me The finest thing my hood done seen But oh no oh no she got a man and a son though But that is okay cause I Wait for my cue and just listen play my position Like a shortstop pick up erything mami hitting And in no time I plan to make this one here mine And that is for sure because I I never been the type to break up a happy home but uh There is something bout baby girl I just can not leave alone So tell me ma what is it going to be She said You do not know what you mean to me Hook Kelly Rowland No matter what I do woo All I think about is you uh huh Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo You know I am crazy over you Verse 2 Nelly and Kelly Rowland I see a lot and you look and I never say a word I know how niggas start acting tripping out here about they girls And there is no way Nelly gon fight over no dame As you can see but I I like your steez your style your whole demeanor The way you come through and holla And swoop me in his twoseater Now that is gangster and I got special ways to thank ya Do not you forget it but uh It are not that easy for you to pack and leave him But uh you and dirty got ties for different reasons I respect that and right before I turn to leave She said she said You do not know what you mean to me Hook Kelly Rowland No matter what I do woo All I think about is you uh huh Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo You know I am crazy over you Interlude Nelly Sing it for me K Bridge Kelly Rowland + Nelly I love you word and I need you Nelly I love you I do come on girl And it is more than you will ever know Boy it is for sure You can always count on my love Forever more yeah yeah Outro Nelly East Coast I know you shaking right Down South I know you bouncing right West Coast I know you walking right cause You do not know what you mean to me Midwest I see you swinging right Hook Kelly Rowland No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo You know I am crazy over you Outro Nelly and Kelly Rowland East Coast I know you shaking right Down South I know you bouncing right West Coast I know you walking right cause You do not know what you mean to me Midwest I see you swinging right East Coast you still shaking right Down South I know you bouncing right West Coast I know you walking right cause You do not know what you mean to me Midwest I see you swinging right Hook Kelly Rowland No matter what I do woo All I think about is you uh huh Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you Outro Nelly and Kelly Rowland East Coast I know you shaking right Down South I know you bouncing right West Coast I know you walking right cause You do not know what you mean to me Midwest I see you swinging right East Coast you still shaking right Down South I see you bouncing right West Coast I know you walking right cause You do not know what you mean to me Midwest I see you swinging right,2002.0,845,"
"
7,Mr. Cheeks,"Lights, Camera, Action!", Mr Cheeks I am talkin to these motherfuckers Yea ok Yea ooh ooh This one is a vivrant thing LB GI one fam oh my Bounce with me now Bink Dawg hot I am talkin this gone be somethin now Mr Cheeks whoo I am talkin lights camera action Ohh Kay Get down now Bink Dawg now One Shot Deal shit Verse 1 Yea ok Now I am in the spot where I want to be Money spent niggas gettin bent chicks in front of me Just the way I like it hunnies turnin somethin I got a seat up in the cut and I am burnin somethin Booties dancin round a nigga and I am killin one Killin one from the top of the stash and I am feelin buns Plus I am do low at a table I am fuckin with this chick with a fat batty and the ring up in her navel Dances around she struts with the fuck walk Touches her toes and she can make her butt talk Do whatcha going to do I are not mad at chu Know a lot of haters when they seen and as bad as you You is a real bad girl a nigga need that Sippin on ya Henny askin where the weed at Lemme put you onto somethin You fuckin with a big nigga no frontin Hook x2 Uh shorty turn it around lemme see somethin Fuckin with me for real it is gone be somethin Yea I am talkin lights camera action Had me singin I am sorry Ms Jackson Verse 2 I love the way it is goin down she got the thong on She started bouncin more once she heard the Thong Song Them high heels got them calves lookin right too Shorty come live with me for the night true Shit I am only tryin to holla it is only right you holla back So where you headed lemme follow that Now word up I got plans for you It is more than my tongue and my hands will do The way you move to the music it make a nigga want to Take you up outta here go somewhere loose it And your physique is off the chain It is going to be hard gettin you off the brain I mean we could take a drive in the X5 The way you boogie on the floor know that sex slide You is a dime piece I am tryin to see somethin Suck your t is and in your front and lemme squeeze somethin Hook x2 Verse 3 I got a few hours left notil a nigga jet And I am hopin that it is you that a nigga get Hear them callin out ya name I geuss ya showtime Getcha money shorty lemme see you pole climb Toes out back showin off the tattoo Fuck the dumb shit a nigga had to snatch youu Lookin as good as ya smell pay your own bills Ask officer because your pushin your own wheels Yea I am feelin you tryin to see the deal with you What is goin on later on can I chill with you We can do anything that you want to do You know the way a nigga feel all I want is you Get ya dance on Love the way you make the moves with no pants on Let is ride Bounce to ya man is song Let is get to goin it is goin on before the chance gone Next stop Hook x4 Mr Cheeks Yo turn with me now Do my thing hey swing with me now Bink dawg now one shot deal shit Keep it tight and this is how we steal shit It is that real shit it is that new shit How we come thru shit Mr Sexy keep shit hot with us Let is go get it niggas tryed to come get us Back niggas know my fuckin style Got the booties in the back HEY meanwhile We just suckin and smokin and drinkin Hey man what the fuck is they thinkin Aww shit we is high tonite Well my nigga said Let is ride tonite We out in Miami We in New York Twist the cap pop the cork Yea shorty lemme see somethin Fuckin with me and my teamyeahit is gone be somethin I am talkin bout lights camera action Had a nigga singin I am sorry Ms Jackson Yea oh haha sorry Ms Jackson Shorty actin like she ready for some action,2002.0,763,"
"
8,N.O.R.E.,Nothin', Intro Pharell Oh Millitainment Oh Millitainment Oh Millitainment Come on Millitainment Oh Millitainment This one is the hot one Millitainment Aiyyo Millitainment Hook Pharell Homeboy I came to party ohh Yo girl was lookin at me ohh She is a haggler naw I am not taggin her ohh But you do not want them boys to come over and start askin ya ohh What you want to do nigga Nothin What you trying to do nigga Nothin What you want to do nigga Nothin What you trying to do Verse 1 Noreaga Yo yo yo Yo NOR papi say what That nigga is the man With his manager Chris and the label that Jams Still flossin showin your rocks Ai not you dudes heard Grimey man we stoled your watch It goes Indian style knees bent in dashiki Strapped with the veritek baby tec BT True she at the bar lookin good in the brown dress Ordered six shots and them things are not around yet Persona all thugged out loud and clear Sayin fuck the straight Henny just grab me a beer You see I am reppin now and my mami is I got a weapon now Shoot at them clowns at they feet they high steppin now Left that wack label cause I do not like pricks I am like a hammer that you hold on your hand I make hits At the white boy club while I am buyin the bar They like Hey now you are an all star it go Hook Pharell Homeboy I came to party ohh Yo girl was lookin at me ohh She is a haggler naw I am not taggin her ohh But you do not want them boys to come over and start askin ya ohh What you want to do nigga Nothin What you trying to do nigga Nothin What you want to do nigga Nothin What you trying to do Nothin Verse 2 Noreaga I spit mack millimeter rhymes kill a liter in line My nigga Peter got a heater of mines Niggas still lyin in they wack ass bars Only time they seen jail when they watchin Oz I am in the club pissy drunk like Ahhdadidaa And mami took it proper like Dadadidaa Adios kill your soul then we body your ghost They call me gordo I sip the champagne that is importo Playin Capicu Man you are not nappy too I like when chocha be nappy too I treat life like a fast car lower my speed I try and chill and sell more records than Creed Been a hustler What What Way before Melvin Flynt A criminal do not leave no prints These dudes gave me a brick and they are not seen me since Caught up wit em had them dudes straight hoppin the fence it go Hook Pharell Homeboy I came to party ohh Yo girl was lookin at me ohh She is a haggler naw I am not taggin her ohh But you do not want them boys to come over and start askin ya ohh What you want to do nigga Nothin What you trying to do nigga Nothin What you want to do nigga Nothin What you trying to do Nothin Bridge La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh Verse 3 Noreaga Yo yo yo Yo oops I done done it again I got another one I keep it hid in my pocket I got another one Fast and Furious dunn dunn dunn tudunn Still be in Miami and jet skiing In the ocean where the sharks be at just ODn Adebesi want a brick you pay double easy I got them things that will move easy And I told the lawyer I sold blow to old Goya I am half spanish you see I cook coke for Goya I am half spanish all day arroz con polla Recognize when I am runnin the game before me Chickens was not even messin with brain because me Now you started gettin head on the westside highway So recognize my nigga you did it my way Ice rockin brick choppin and gun shoppin I did it all beat cases without Cochran Hook Pharell Homeboy I came to party ohh Yo girl was lookin at me ohh She is a haggler naw I am not taggin her ohh But you do not want them boys to come over and start askin ya ohh What you want to do nigga Nothin What you trying to do nigga Nothin What you want to do nigga Nothin What you trying to do Nothin Bridge La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh La la la la la la la la la ohh ,2002.0,922,"
"
9,Faith Evans,I Love You, Verse 1 My heart belongs to you So what could I do To make you feel I am down with You see me hanging around But you do not know how you make me feel for you and PreChorus Each and every day I try to make some sense of this What you mean to me I know it could be serious Each and every night I dream about just holding you Loving you like this what is a girl supposed to do Chorus I love you I love you I want you I want you You are the one that I live for And I can not take it anymore anymore I love you I love you I need you and I need you What can I do to make you see You are the only one for me Verse 2 First time I saw your face My heart just erased All the guys I knew Before you walked into my life I was the type to never want for nothinggg PreChorus Each and every day I try to make some sense of this What you mean to me I know it could be serious Each and every night I dream about just holding you Loving you like this What is a girl supposed to do Chorus I love you I love you I want you I need you You are the one that I live for And I can not take it anymore I love you I love you I need you need you What can I do to make you see You are the only one for me Bridge I love you I want you I need you in my life Ca not you see what you mean to me Baby come hold me tight I miss you want to kiss you Every time I see your face Baby I will be waiting for you Each and every day Chorus I love you oh I want you You are the one that I live for And I can not take it anymore Baby you know that I love you I love you I need you What can I do to make you see do to make you see You are the only one for me oh yeah Bridge You are the only one for me only one And I know it is meant to be and I know we are meant to be What can I do to make you see My love will carry on listen to my heart So listen to my heart and know and know You will find out where my love will go love will go The future lies between us both Oh babe I love you so Chorus I love you I want you and you know my heart belongs to you boy You are the one that I live for And I can not take it anymore I love you baby I love you I need you baby I need you What can I do to make you see You are the only one for me I love you you are the one for me I want you it was meant to be You are the one that I live for And I can not take it anymore I love you I need you What can I do to make you see You are the only one for me I love you baby I love you I want you baby I need you ,2002.0,583,"
"
10,Michael Jackson,Butterflies, Intro Michael Jackson and Marsha Ambrosius Butterflies Da de da Da de de da da de da Da de de da da Butterflies Da de de da da de da Ohh fly Da de de da de da dum La de de de da la de da La de de de da la dum la dum la dum Verse 1 All you got to do is walk away and pass me by Do not acknowledge my smile when I try to say hello to you yeah And all you got to do is not answer my calls when I am tryna get through Keep me wondering why when all I can do is sigh I just want to touch you Chorus I just want to touch and kiss And I wish that I could be with you tonight And I wish I could be with you Girl you give me Cause you give me butterflies inside inside and I Verse 2 All I got to say is that I must be dreaming can not be real You are not here with me still I can feel you near to me I caress you let you taste us just so blissful listen I would give you anything baby ah just make my dreams come true Oh baby you give me butterflies Chorus I just want to touch and kiss And I wish that I could be with you tonight You tonight Cause you give me butterflies inside inside and I I just want to touch and kiss And I wish that I could be with you tonight You give me Ah because you give me butterflies inside inside and I Bridge If you would take my hand baby I would show you Guide you to the light babe If you would be my love baby I will love you Love you notil the end of time Chorus I just want to touch and kiss And I wish that I could be with you tonight Tonight Girl you give me Cause you give me butterflies inside inside and I I just want to touch and kiss I want to I want to be with you And I wish that I could be with you tonight Ah you give me butterflies inside inside and I I just want to touch and kiss And I wish that I could be with you tonight Ah because you give me butterflies inside inside and I I just want to touch and kiss I want to I want to be with you girl And I wish that I could be with you tonight I want to be with you Cause you give me butterflies inside inside and I,2002.0,451,"
"
