,Year,Artist,Song Title,Lyrics,word_count
0,2002.0,Ashanti,Foolish,Murder Inc Ashanti See my days are cold without you But I am hurting while I am with you And though my heart can give no more I keep on running back to you See my days are cold without you But I am hurting while I am with you And though my heart can give no more I keep on running back to you Baby I do ignore why you are treating me so bad You said you love me no one above me and I was all you had And though my heart is beating for you I can start crying I do ignore how I allow you to treat me this way and still I stay See my days are cold without you But I am hurting while I am with you And though my heart can give no more I keep on running back to you See my days are cold without you But I am hurting while I am with you And though my heart can give no more I keep on running back to you Baby I do ignore why you want to do me wrong See when I am home I am all alone and you are always gone And boy you know I really love you I can admit I can not see how you could bring me to so many tears after all these years See my days are cold without you But I am hurting while I am with you And though my heart can give no more I keep on running back to you See my days are cold without you But I am hurting while I am with you And though my heart can give no more I keep on running back to you Ooh I trusted you I trusted you So sad so sad what love will make you do All the things that we accept Be the things that we regret To all of my ladies Feel me come on sing with me See when I get the strength to leave You always tell me that you need me And I am weak because I believe you And I am mad because I love you So I stop and think that maybe You can learn to appreciate me Then it all remains the same That you are ever going to change See my days are cold without you But I am hurting while I am with you And though my heart can give no more I keep on running back to you See my days are cold without you But I am hurting while I am with you And though my heart can give no more I keep on running back to you Baby why you hurt me leave me and desert me Boy I gave you all my heart and all you did was tear it up Looking out my window knowing that I should go Even when I pack my bags this something always holds me back,503
1,2002.0,Usher,U Don't Have To Call,Yo after tonight Do arrive your girl around me true playa for real Ask my nigga Pharrell uh Come on that is how it is going down You smell it Hah yeah You smell it Hah yeah Do arrive your girl around me true playa for real Ask my nigga Pharrell uh Situations will arise In our lives But you got to be smart about it Celebrations with the guys I sacrificed Cause I knew you could wake without it Meanwhile I I loved you you were my girl You see I Thought the world of you But you are still steady leaving baby You do lack to call It is okay girl Cause I ama be alright tonight You do lack to call It is okay girl Cause I ama be alright tonight Aw girl your face is saying Why Tears in eyes Should have been more smart about it Should have cherished me listening to friends Now it is the end And again no story can end without it Damn right I loved you You were my girl You see I Thought the world of you But you are still steady leaving baby You do lack to call It is okay girl Cause I ama be alright tonight You do lack to call It is okay girl Cause I ama be alright tonight Gonna boogie tonight Cause I am honestly too young of a guy To stay home waiting for love So tonight I am going to do what a single man does And that is party yeah oh yeah You do lack to call It is okay girl Cause I ama be alright tonight You do lack to call It is okay girl Cause I ama be alright tonight Tonight I am going out with my nigga oh yeah hah You do lack to call It is okay girl Cause I ama be alright tonight Gonna boogie tonight Cause I am honestly too young of a guy To stay home waiting for love So tonight I am going to do what a single man does And that is party yeah yeah hah You do lack to call It is okay girl Cause I ama be alright tonight You do lack to call It is okay girl Cause I ama be alright tonight You do lack to call It is okay girl Cause I ama be alright tonight You do lack to call It is okay girl Cause I ama be alright tonight I am not waiting at home for you Bye bye,425
2,2002.0,Musiq,halfcrazy,La la la la la la la la la La la la la la la la La la la la la la la la la La la la la la la la Never thought that we would ever be more than friends Now I am all confused cause for you I have deeper feelings We both thought it was cool to cross the line And I was convinced it would be alright Now things are strange nothinggg is the same And really I just want my friend back And my mind is gone half crazy cause I can arrive you alone And I am wondering if it is worth me holding on Said my mind is gone half crazy cause I can arrive you alone And I am wondering if it is worth me holding on I would hate to walk away from you as if this never existed Cause when we kissed the moment after I love that you different Lately I going to watch what I say Cause you take things personal nowadays You used to laugh now you get mad Damn I just want my friend back Oh oh oh oh oh yeah What happened to the one I used to know The one I used to laugh and joke with The one I used to tell all my secrets We used to chill and be down for whatever whenever together yeah And my mind is gone half crazy cause I can arrive you alone And I am wondering if it is worth me holding on Said my mind is gone half crazy cause I can arrive you alone And I am wondering if it is worth me holding on We used to chill we used to hang We used to do we used to do some many things together Yeah yeah yeah yeah Oh oh Yeah Oh oh oh,313
3,2002.0,Nelly,Hot In Herre,It is hot in so hot in herre So hot in hot OH With a little bit of uh uh and a little bit of uh uh Just a little bit of just a little bit of Just a little bit of just a little bit of I was like good gracious ass is bodacious Flirtacious tryin to show patience I am waitin for the right time to shoot my steez Waitin for the right time to flash them keys then uhh I am leavin please believe in ohh Me and the rest of my heathens Check it got it locked at the top of the Fo Seasons Penthouse roof top birds I am feedin No deceivin nuttin up my sleeve and No teasin I need you to Get up up on the dance floor Give that man what he askin for Cause I feel like bustin loose And I feel like touchin you uh uh And can not nobody stop the juice So baby tell me what is the use I said It is gettin hot in herre so take off all your clothes I am gettin so hot I want to take my clothes off It is gettin hot in herre so take off all your clothes I am gettin so hot I want to take my clothes off Uh uh uh let it hang all out Why you at the bar if you are not poppin the bottles What good is all the fame if you are not fuckin the models I see you drivin sports cars are not hittin the throttle And I will be down to do a hundred top down and goggles Got off the freeway exit 106 and parked it Ash tray flip gate time to spark it Gucci collar for dollar got out and walked it I spit game cause baby I can keep_quiet it Warm sweatin it is hot up in this joint Vokal tanktop on at this point You with a winner so baby you can win I got secrets can arrive Cancun So take it off like you are home alone You know dance in front your mirror while you are on the phone Checkin your reflection and tellin your best friend Like Girl I think my butt gettin big It is gettin hot in herre so take off all your clothes I am gettin so hot I want to take my clothes off It is gettin hot in herre so take off all your clothes I am gettin so hot I want to take my clothes off Uh uh uh let it hang all out Mix a little bit of ah ah With a little bit of ah ah Give a little bit of ah ah With a little bit of ah ah With a little bit of ah ah And a sprinkle of that ah ah I like it when ya ah ah Girl baby make it ah ah Stop pacin time wastin I got a friend with a pole in the basement I am just kidding like Jason Unless you going to do it Extra extra eh spread the news Nelly took a trip from the Lou to the Neptunes Came back with somethin thicker than fittin in Sasoons Say she got a thing about cuttin in restrooms ohh It is gettin hot in here so take off all your clothes I am gettin so hot I want to take my clothes off It is gettin hot in here so take off all your clothes I am gettin so hot I want to take my clothes off Uh uh uh let it hang all out It is gettin hot in herre so take off all your clothes I am gettin so hot I want to take my clothes off It is gettin hot in herre so take off all your clothes I am gettin so hot I want to take my clothes off Uh uh uh let it hang all out Mix a little bit of ah ah With a little bit of ah ah Give a little bit of ah ah With a little bit of ah ah With a little bit of ah ah And a sprinkle of that ah ah I like it when ya ah ah Girl baby make it ah ah ohh,721
4,2002.0,Jaheim Featuring Next,Anything,Yea ooh yeah yeah yeah yeah You can have anything I got All of me right on the spot Dadadadadadadada Dadadadada You can have anything I own Work my fingers all the way to the bone Dadadadadadadada Dadadadada Now baby I do not want to be fictitious Saying I can get you anything is ridiculous But anything you ask if its anywhere near my grasp It is yours Oh yeah Now I do leave fancy cars or diamond rings Lord knows I will if I make it with this singing thing Hold on have faith in me Cause anything I have is yours baby Girl I know you want to roll a Lexus A Lexus with a mansion down in Texas It is more like apartment 8 cellular is prepaid But baby it is all okay I can unmake all the things I want to do But I can love you and I can stay true I will give you my last dime Spend all my time It is yours whatever is mine You can have anything you want Now I do lack no LS to drive Just believe and pray hold on to me and say stay Just dream dream with Jaheim I will work overtime anytime Please just believe everything and anything All of me babybabybabybaby Baby you can have anything you want Anything you want anything you need Anything I have baby girl just ask Anything you want anything you need,244
5,2002.0,Nelly Featuring Kelly Rowland,Dilemma,I love you And I need you Nelly I love you I do need you No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo You know I am crazy over you I met this chick and she just moved right up the block from me And uh she got the hots for me The finest thing my hood done seen But oh no oh no she got a man and a son though But that is okay cause I Wait for my cue and just listen play my position Like a shortstop pick up erything mami hitting And in no time I plan to make this one here mine And that is for sure because I I never been the type to break up a happy home but uh There is something bout baby girl I just can arrive alone So tell me ma what is it going to be She said No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo You know I am crazy over you I see a lot and you look and I never say a word I know how niggas start acting tripping out here about they girls And there is no way Nelly going to fight over no dame As you can see but I I like your steez your style your whole demeanor The way you come through and holla And swoop me in his twoseater Now that is gangster and I got special ways to thank ya Do not you forget it but uh It are not that easy for you to pack and leave him But uh you and dirty got ties for different reasons I respect that and right before I turn to leave She said she said No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo You know I am crazy over you Sing it for me K I love you and I need you Nelly I love you I do And it is more than you will ever know Boy it is for sure You can always count on my love Forever more yeah yeah East Coast I know you shaking right Down South I know you bouncing right West Coast I know you walking right cause Midwest I see you swinging right No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo You know I am crazy over you East Coast I know you shaking right Down South I know you bouncing right West Coast I know you walking right cause Midwest I see you swinging right East Coast you still shaking right Down South I know you bouncing right West Coast I know you walking right cause Midwest I see you swinging right No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you No matter what I do All I think about is you Even when I am with my boo Boy you know I am crazy over you East Coast I know you shaking right Down South I know you bouncing right West Coast I know you walking right cause Midwest I see you swinging right East Coast you still shaking right Down South I see you bouncing right West Coast I know you walking right cause Midwest I see you swinging right,719
7,2002.0,Mr. Cheeks,"Lights, Camera, Action!",I am talkin to these motherfuckers Yea ok Yea ooh ooh LB GI one fam oh my Bink Dawg hot Mr Cheeks whoo Ohh Kay Bink Dawg now One Shot Deal shit Yea ok Now I am in the spot where I want to be Money spent niggas gettin bent chicks in front of me Just the way I like it hunnies turnin somethin I got a seat up in the cut and I am burnin somethin Booties dancin round a nigga and I am killin one Killin one from the top of the stash and I am feelin buns Plus I am do low at a table I am fuckin with this chick with a fat batty and the ring up in her navel Dances around she struts with the fuck walk Touches her toes and she can make her butt talk Do whatcha going to do I are not mad at chu Know a lot of haters when they seen and as bad as you You is a real bad girl a nigga need that Sippin on ya Henny askin where the weed at Lemme put you onto somethin You fuckin with a big nigga no frontin Uh shorty turn it around lemme see somethin Fuckin with me for real it is gone be somethin Yea I am talkin lights camera action Had me singin I am sorry Ms Jackson I love the way it is goin down she got the thong on She started bouncin more once she heard the Thong Song Them high heels got them calves lookin right too Shorty come live with me for the night true Shit I am only tryin to holla it is only right you holla back So where you headed lemme follow that Now word up I got plans for you It is more than my tongue and my hands will do The way you move to the music it make a nigga want to Take you up outta here go somewhere loose it And your physique is off the chain It is going to be hard gettin you off the brain I mean we could take a drive in the X5 The way you boogie on the floor know that sex slide You is a dime piece I am tryin to see somethin Suck your t is and in your front and lemme squeeze somethin I got a few hours left notil a nigga jet And I am hopin that it is you that a nigga get Hear them callin out ya name I geuss ya showtime Getcha money shorty lemme see you pole climb Toes out back showin off the tattoo Fuck the dumb shit a nigga had to snatch youu Lookin as good as ya smell pay your own bills Ask officer because your pushin your own wheels Yea I am feelin you tryin to see the deal with you What is goin on later on can I chill with you We can do anything that you want to do You know the way a nigga feel all I want is you Get ya dance on Love the way you make the moves with no pants on Let is ride Bounce to ya man is song Let is get to goin it is goin on before the chance gone Next stop Yo turn with me now Do my thing hey swing with me now Bink dawg now one shot deal shit Keep it tight and this is how we steal shit It is that real shit it is that new shit How we come thru shit Mr Sexy keep shit hot with us Let is go get it niggas tryed to come get us Back niggas know my fuckin style Got the booties in the back HEY meanwhile We just suckin and smokin and drinkin Hey man what the fuck is they thinkin Aww shit we is high tonite Well my nigga said Let is ride tonite We out in Miami We in New York Twist the cap pop the cork Yea shorty lemme see somethin Fuckin with me and my team yeah it is gone be somethin I am talkin bout lights camera action Had a nigga singin I am sorry Ms Jackson Yea oh haha sorry Ms Jackson Shorty actin like she ready for some action,722
8,2002.0,N.O.R.E.,Nothin',Oh Oh Oh Come on Oh This one is the hot one Aiyyo Homeboy I came to party Yo girl was lookin at me She is a haggler naw I am not taggin her But you do not want them boys to come over and start askin ya What you want to do nigga What you trying to do nigga What you want to do nigga What you trying to do Yo yo yo Yo NOR papi say what That nigga is the man With his manager Chris and the label that Jams Still flossin showin your rocks Ai not you dudes heard Grimey man we stoled your watch It goes Indian style knees bent in dashiki Strapped with the veritek baby tec BT True she at the bar lookin good in the brown dress Ordered six shots and them things are not around yet Persona all thugged out loud and clear Sayin fuck the straight Henny just grab me a beer You see I am reppin now and my mami is I got a weapon now Shoot at them clowns at they feet they high steppin now Left that wack label cause I do unlike pricks I am like a hammer that you hold on your hand I make hits At the white boy club while I am buyin the bar They like Hey now you are an all star it go Homeboy I came to party Yo girl was lookin at me She is a haggler naw I am not taggin her But you do not want them boys to come over and start askin ya What you want to do nigga What you trying to do nigga What you want to do nigga What you trying to do I spit mack millimeter rhymes kill a liter in line My nigga Peter got a heater of mines Niggas still lyin in they wack ass bars Only time they seen jail when they watchin Oz I am in the club pissy drunk like Ahhdadidaa And mami took it proper like Dadadidaa Adios kill your soul then we body your ghost They call me gordo I sip the champagne that is importo Playin Capicu I like when chocha be nappy too I treat life like a fast car lower my speed I try and chill and sell more records than Creed Been a hustler Way before Melvin Flynt A criminal do arrive no prints These dudes gave me a brick and they are not seen me since Caught up wit em had them dudes straight hoppin the fence it go Homeboy I came to party Yo girl was lookin at me She is a haggler naw I am not taggin her But you do not want them boys to come over and start askin ya What you want to do nigga What you trying to do nigga What you want to do nigga What you trying to do La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la Yo yo yo Yo oops I done done it again I got another one I keep it hid in my pocket I got another one Fast and Furious dunn dunn dunn tudunn Still be in Miami and jet skiing In the ocean where the sharks be at just ODn Adebesi want a brick you pay double easy I got them things that will move easy And I told the lawyer I sold blow to old Goya I am half spanish you see I cook coke for Goya I am half spanish all day arroz con polla Recognize when I am runnin the game before me Chickens was odd messin with brain because me Now you started gettin head on the westside highway So recognize my nigga you did it my way Ice rockin brick choppin and gun shoppin I did it all beat cases without Cochran Homeboy I came to party Yo girl was lookin at me She is a haggler naw I am not taggin her But you do not want them boys to come over and start askin ya What you want to do nigga What you trying to do nigga What you want to do nigga What you trying to do La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la La la la la la la la la la,836
9,2002.0,Faith Evans,I Love You,My heart belongs to you So what could I do To make you feel I am down with You see me hanging around But you do ignore how you make me feel for you and I try to make some sense of this I know it could be serious I dream about just holding you what is a girl supposed to do I love you I want you You are the one that I live for And I can give it anymore I love you I need you What can I do to make you see You are the only one for me First time I saw your face My heart just erased All the guys I knew Before you walked into my life I was the type to never want for nothinggg I try to make some sense of this I know it could be serious I dream about just holding you What is a girl supposed to do I love you I want you You are the one that I live for And I can give it anymore I love you I need you What can I do to make you see You are the only one for me I love you I want you I need you in my life Ca not you see what you mean to me Baby come hold me tight I miss you want to kiss you Every time I see your face Baby I will be waiting for you Each and every day I love you I want you You are the one that I live for And I can give it anymore I love you I need you What can I do to make you see You are the only one for me You are the only one for me And I know it is meant to be What can I do to make you see My love will carry on So listen to my heart and know You will find out where my love will go The future lies between us both Oh babe I love you so I love you I want you You are the one that I live for And I can give it anymore I love you I need you What can I do to make you see You are the only one for me I love you I want you You are the one that I live for And I can give it anymore I love you I need you What can I do to make you see You are the only one for me I love you I want you,436
10,2002.0,Michael Jackson,Butterflies,Butterflies Da de da Da de de da da de da Da de de da da Da de de da da de da Da de de da de da dum La de de de da la de da La de de de da la dum la dum la dum All you got to do is walk away and pass me by Do deny my smile when I try to say hello to you yeah And all you got to do is question my calls when I am tryna get through Keep me wondering why when all I can do is sigh I just want to touch you I just want to touch and kiss And I wish that I could be with you tonight Cause you give me butterflies inside inside and I All I got to say is that I must be dreaming can differ real You are there with me still I can feel you near to me I caress you let you taste us just so blissful listen I would give you anything baby ah just make my dreams come true Oh baby you give me butterflies I just want to touch and kiss And I wish that I could be with you tonight Cause you give me butterflies inside inside and I I just want to touch and kiss And I wish that I could be with you tonight Ah because you give me butterflies inside inside and I If you would take my hand baby I would show you Guide you to the light babe If you would be my love baby I will love you Love you notil the end of time I just want to touch and kiss And I wish that I could be with you tonight Cause you give me butterflies inside inside and I I just want to touch and kiss And I wish that I could be with you tonight Ah you give me butterflies inside inside and I I just want to touch and kiss And I wish that I could be with you tonight Ah because you give me butterflies inside inside and I I just want to touch and kiss And I wish that I could be with you tonight Cause you give me butterflies inside inside and I,383
