,Year,Artist,Song Title,Lyrics,word_count
0,2002.0,Ashanti,Foolish,murder inc ashanti see days cold without hurting though heart take keep running back see days cold without hurting though heart take keep running back baby know treating bad said love one though heart beating stop crying know allow treat way still stay see days cold without hurting though heart take keep running back see days cold without hurting though heart take keep running back baby know want wrong see home alone always gone boy know really love deny see could bring many tears years see days cold without hurting though heart take keep running back see days cold without hurting though heart take keep running back trusted sad love make things accept things regret ladies feel come sing see get strength leave always tell need weak believe mad love stop think maybe learn appreciate remains never going change see days cold without hurting though heart take keep running back see days cold without hurting though heart take keep running back baby hurt leave desert boy gave heart tear looking window knowing go even pack bags something always holds back,180
1,2002.0,Usher,U Don't Have To Call,yo tonight leave girl around true playa real ask nigga pharrell uh come going smell hah smell hah leave girl around true playa real ask nigga pharrell uh situations arise lives got smart celebrations guys sacrificed cause knew could sleep without meanwhile loved girl see thought world still steady leaving baby call okay girl cause ama alright tonight call okay girl cause ama alright tonight aw girl face saying tears eyes smart cherished listening friends end story end without damn right loved girl see thought world still steady leaving baby call okay girl cause ama alright tonight call okay girl cause ama alright tonight going to boogie tonight cause honestly young guy stay home waiting love tonight going single man party call okay girl cause ama alright tonight call okay girl cause ama alright tonight going nigga hah call okay girl cause ama alright tonight going to boogie tonight cause honestly young guy stay home waiting love tonight going single man party hah call okay girl cause ama alright tonight call okay girl cause ama alright tonight call okay girl cause ama alright tonight call okay girl cause ama alright tonight waiting home bye,194
2,2002.0,Musiq,halfcrazy,la never thought would ever friends confused cause deeper feelings thought cool cross line convinced would alright things strange nothinggg really want friend back mind gone half crazy cause leave alone wondering worth holding said mind gone half crazy cause leave alone wondering worth holding would hate walk away never existed cause kissed moment love different lately going watch say cause take things personal nowadays used laugh get mad damn want friend back oh happened one used know one used laugh joke one used tell secrets used chill whatever whenever together mind gone half crazy cause leave alone wondering worth holding said mind gone half crazy cause leave alone wondering worth holding used chill used hang used many things together oh,121
3,2002.0,Nelly,Hot In Herre,hot herre hot little bit uh little bit uh little bit little bit little bit little bit like good gracious ass bodacious flirtacious tryin show patience waitin right time shoot steez waitin right time flash keys uhh leavin please believe ohh rest heathens check got locked top fo seasons penthouse roof top birds feedin deceivin nuttin sleeve teasin need get dance floor give man askin cause feel like bustin loose feel like touchin uh nobody stop juice baby tell use said gettin hot herre take clothes gettin hot want take clothes gettin hot herre take clothes gettin hot want take clothes uh let hang bar poppin bottles good fame fuckin models see drivin sports cars hittin throttle hundred top goggles got freeway exit 106 parked ash tray flip gate time spark gucci collar dollar got walked spit game cause baby talk warm sweatin hot joint vokal tanktop point winner baby lose got secrets leave cancun take like home alone know dance front mirror phone checkin reflection tellin best friend like girl think butt gettin big gettin hot herre take clothes gettin hot want take clothes gettin hot herre take clothes gettin hot want take clothes uh let hang mix little bit ah little bit ah give little bit ah little bit ah little bit ah sprinkle ah like ah girl baby make ah stop pacin time wastin got friend pole basement kidding like jason unless going to extra eh spread news nelly took trip lou neptunes came back somethin thicker fittin sasoons say got thing cuttin restrooms ohh gettin hot take clothes gettin hot want take clothes gettin hot take clothes gettin hot want take clothes uh let hang gettin hot herre take clothes gettin hot want take clothes gettin hot herre take clothes gettin hot want take clothes uh let hang mix little bit ah little bit ah give little bit ah little bit ah little bit ah sprinkle ah like ah girl baby make ah ohh,328
4,2002.0,Jaheim Featuring Next,Anything,yea yea anything got right spot dadadadadadadada dadadadada anything work fingers way bone dadadadadadadada dadadadada baby want fictitious saying get anything ridiculous anything ask anywhere near grasp got fancy cars diamond rings lord knows make singing thing hold faith cause anything baby girl know want roll lexus mansion texas like apartment 8 cellular prepaid baby okay things want love stay true give last dime spend time whatever mine anything want ls drive believe pray hold say stay dream jaheim work overtime anytime please believe everything anything babybabybabybaby baby anything want anything want anything need anything baby girl ask anything want anything need,102
5,2002.0,Nelly Featuring Kelly Rowland,Dilemma,love need nelly love need matter think even boo boy know crazy matter think even boo know crazy met chick moved right block uh got hots finest thing hood done seen got man son though okay cause wait cue listen play position like shortstop pick erything mami hitting time plan make one mine sure never type break happy home uh something bout baby girl leave alone tell going said matter think even boo boy know crazy matter think even boo know crazy see lot look never say word know niggas start acting tripping girls way nelly going to fight dame see like steez style whole demeanor way come holla swoop twoseater gangster got special ways thank you forget uh easy pack leave uh dirty got ties different reasons respect right turn leave said matter think even boo boy know crazy matter think even boo know crazy sing k love need nelly love ever know boy sure always count love forever east coast know shaking right south know bouncing right west coast know walking right cause midwest see swinging right matter think even boo boy know crazy matter think even boo know crazy east coast know shaking right south know bouncing right west coast know walking right cause midwest see swinging right east coast still shaking right south know bouncing right west coast know walking right cause midwest see swinging right matter think even boo boy know crazy matter think even boo boy know crazy matter think even boo boy know crazy east coast know shaking right south know bouncing right west coast know walking right cause midwest see swinging right east coast still shaking right south see bouncing right west coast know walking right cause midwest see swinging right,289
6,2002.0,Ja Rule Featuring Ashanti,Always On Time,hi rap critic let talk ja rule remember well remember one successful 2pac knockoffs tried capatilize likeness aftermath death made obvious bald head red bandana perpetual shirtlessness whereas 2pac musical material matter controversial disagreeable least came across genuine intricate insights man trying sort world ja rule music came across watered say least first sang way much hardcore thug kept claiming secondly sang way much someone cant sing montage ja rule singing third mannerisms 2pac absolutely none substance fourth already late 90 eastcoast version 2pac name dmx comparison must noted dmx arrive scene year ja rule also energy griminess passion rhymes made ja rule look like corny knock x diversity topics ranging hardcore anthems tracks multiple personalities songs detailing life like slippin material clever di also grittier making believe every word viciously growled coupled fact 1998 first second albums went number one year bet ass people trying imitate formula trying achieve intensity ability dmx taking exact aesthetic watering hell ja dmx actually cool first right around release second album rule 336 time ja started going runofthemill gangster rapper employing one worst trends hiphop thugs need love songs ja rule bread freaking butter songs females singing soulfully much need ja rule declaring loving loyalty return spits rhymes hardcore sex much gangster playa still despite relationship end 2002 neverending torrent want gangster fellas loveydovey ladies songs dominated airwaves biggest single always time pretty much first last song really needed hear comes topic everything done right wrong song mostly done wrong let check always call always time right exactly talking smooth r b singer crooning love girls still going hardcore going talk shooting guns despite fact nothinggg mood trying set like reality would work singing boy know love tell say pause guns go holy shit fuck gave baby mine give gave baby mine edited first time first take different word gave know baby mine although word actually says gave says baby mine seeing context always answer phone need giving since giving still know whether wants going forgo thought talking spending quality time together loving couple assuming talking know innocuously worded enough someone could interpret innocent context great way r b writing works easily deduce sexual emotional context saying however coming rapper still trying hardcore c amon get piece latenight lover know one swing dick like goodbye subtlety know got lot things need explain baby know name love pain know done disrespectful things past hey know rich rapper besides love supposed hurt things hurt trying verify enduring power love stop complaints drop order restraints sign papers nullify restraining order whha hold bed yankin braids sorry mention something restraining order little ago thug style never thought would make smile guess freaking restraining order look understand people get relationship problems come point trying legally restrict person near tread dangerous territory smackin fast hittin wild line restraining orders really ruining rest song share somethin rare yes couples do not us namely document stating within 100 feet cares court drafted baby always call always time still singing like guy obviously worth time girl get gripcome pull together see even ja rule wants get done nothinggg illustrate good person like said get grip sunshower worse weather wait saying pull together get grip wants overlook shortcomings worse says bad guess thought moment clarity realizing horrible person telling move foolish presumption songs girl know bad boy like fact bad boy terrible stay away love fact supposed together points finger mouth blegh know wale handled topic nuance gave proper weight subject ja rule songs exploit angle annoys way sung treats topic gravity whatsoever tries make whole thing cute ja lyrics outline stupid really like stormy nights wrote dear ja letter took benz keyed cut leather okay instance something pretty crappy fairly sure response something bitch know better live mob money bitches know like casually referring bitch living phrase mob means values money material items bitches derogatory term called cut car remember value material items value see things working understand got two three whores every v could look fact sees shame telling girls keep them drugged ecstasy keeps high drugs incapacitate like pimp wait song pimp relationship prostitute dude think mean listen always call always time something prostitute would say pimp daddy may always answer phone always time money dear god see believe pimp game religious seriously notice basically song pimp makes girl feel special sell body ashanti chick going mean isnt song ja rule writing love song easily misconstrued pimpho relationship well guess shows terrible play hard many women fathered wait fathering someone means father person bragging fact lot daughters mean contextually another line many women sex saying fathered verb specifically means father someone unless raising multiple daughters thing rappers bragged early 200 line wrongly worded feelin like livin double life cause comin home sometimes hold ja rule one concerned faithfulness told us two whores every car far know one sex anyone else excuse show sympathy speculations probably arise fact afraid girlfriend might exact morality code could say lust song meant taken song intimate relationships much sexual attraction excuse cutesy lines like share something rare cares care dude know really morally elusive song purpose telling us real story two people struggling lust genuine attraction morally elusive song purpose fooling girls thinking softer side make believe treat special flagging complicated thug card supposed make okay sex women want committed yet obvious manipulative perfect example like songs done way say like rap love songs general hardcore rappers make love songs done right look quintessential thugs need love song need method man back nothinggg made brother feel like somethin day boo frontin even skies gray would rub back say baby okay great example rap love song come across either corny pandering realizing fuck wit going kid got mad love give sure people may sound super romantic sweet brand hiphop raw reality sounds authentic need sugarcoated always time cover fact love manipulating women thinking ja rule gives crap barely bothers hide sorry hate mood song ashanti desperately trying get love begging thing talk awesome annoyingly lopsided regards giving self would give song 1 5 know ashanti okay singer rap critic like opinion like song,1017
7,2002.0,Mr. Cheeks,"Lights, Camera, Action!",talkin motherfuckers ok lb gi one fam bink dawg hot mr cheeks whoo ohh kay bink dawg one shot deal shit ok spot want money spent niggas gettin bent chicks front way like hunnies turnin somethin got seat cut burnin somethin booties dancin round nigga killin one killin one top stash feelin buns plus low table fuckin chick fat batty ring navel dances around struts fuck walk touches toes make butt talk whatcha going mad chu know lot haters seen bad real bad girl nigga need sippin henny askin weed lemme put onto somethin fuckin big nigga frontin uh shorty turn around lemme see somethin fuckin real gone somethin talkin lights camera action singin sorry ms jackson love way goin got thong started bouncin heard thong song high heels got calves lookin right shorty come live night true shit tryin holla right holla back headed lemme follow word got plans tongue hands way move music make nigga want take outta go somewhere loose physique chain going hard gettin brain mean could take drive x5 way boogie floor know sex slide dime piece tryin see somethin suck front lemme squeeze somethin got hours left till nigga jet hopin nigga get hear callin name geuss showtime getcha money shorty lemme see pole climb toes back showin tattoo fuck dumb shit nigga snatch youu lookin good smell pay bills ask officer pushin wheels feelin tryin see deal goin later chill anything want know way nigga feel want get dance love way make moves pants let ride bounce man song let get goin chance gone next stop yo turn thing hey swing bink dawg one shot deal shit keep tight steal shit real shit new shit come thru shit mr sexy keep shit hot us let go get niggas tryed come get us back niggas know fuckin style got booties back hey meanwhile suckin smokin drinkin hey man fuck thinkin aww shit high tonite well nigga said let ride tonite miami new york twist cap pop cork shorty lemme see somethin fuckin team gone somethin talkin bout lights camera action nigga singin sorry ms jackson haha sorry ms jackson shorty actin like ready action,360
8,2002.0,N.O.R.E.,Nothin',oh come one hot one aiyyo homeboy came party yo girl lookin haggler naw taggin want boys come start askin want nigga trying nigga want nigga trying yo papi say nigga man manager chris label jams still flossin showin rocks ai dudes heard grimey man stoled watch goes indian style knees bent dashiki strapped veritek baby tec bt true bar lookin good brown dress ordered six shots things around yet persona thugged loud clear sayin fuck straight henny grab beer see reppin mami got weapon shoot clowns feet high steppin left wack label cause like pricks like hammer hold hand make hits white boy club buyin bar like hey star go homeboy came party yo girl lookin haggler naw taggin want boys come start askin want nigga trying nigga want nigga trying spit mack millimeter rhymes kill liter line nigga peter got heater mines niggas still lyin wack ass bars time seen jail watchin oz club pissy drunk like ahhdadidaa mami took proper like dadadidaa adios kill soul body ghost call gordo sip champagne importo playin capicu like chocha nappy treat life like fast car lower speed try chill sell records creed hustler way melvin flynt criminal leave prints dudes gave brick seen since caught wit them dudes straight hoppin fence go homeboy came party yo girl lookin haggler naw taggin want boys come start askin want nigga trying nigga want nigga trying la yo oops done got another one keep hid pocket got another one fast furious dunn tudunn still miami jet skiing ocean sharks odn adebesi want brick pay double easy got things move easy told lawyer sold blow old goya half spanish see cook coke goya half spanish day arroz con polla recognize runnin game chickens even messin brain started gettin head westside highway recognize nigga way ice rockin brick choppin gun shoppin beat cases without cochran homeboy came party yo girl lookin haggler naw taggin want boys come start askin want nigga trying nigga want nigga trying la,332
9,2002.0,Faith Evans,I Love You,heart belongs could make feel see hanging around know make feel try make sense know could serious dream holding girl supposed love want one live take anymore love need make see one first time saw face heart erased guys knew walked life type never want nothinggg try make sense know could serious dream holding girl supposed love want one live take anymore love need make see one love want need life ca see mean baby come hold tight miss want kiss every time see face baby waiting every day love want one live take anymore love need make see one know meant make see love carry listen heart know find love go future lies us babe love want one live take anymore love need make see one love want one live take anymore love need make see one love want,140
